stat	auc_gated
bp_per_anchor	0.8032141124280863
anchors_per_tag	0.7707943439384487
std_err	0.7318770361128439
breakpoint_count	0.6183149649961877
enzyme_spread	0.6149026131558882
het_shape	0.6072971987920441
gap_lh_af	0.5965439800374298
retention	0.5195092534830527
n_chains	0.4905025299785125
inv_shape	0.39270280120795586
enzyme_chi2	0.36284474980914705
n_anchors	0.3272184099258335
gap_lh	0.2829812157759756
gap_gu	0.21740694531087545
gap_gu_se	0.17367574686351978
anchor_adjacency	0.17196853122617314
gap_lh_se	0.1703389478061967
af_query	0.1389117626672212
af_reference	0.13464614958064738
af_min	0.13316697858182575
