pairid	q_acc	r_acc
GCF_000026645.1__GCF_000271985.2	GCF_000026645.1	GCF_000271985.2
GCF_000026645.1__GCF_006364735.1	GCF_000026645.1	GCF_006364735.1
GCF_000271365.1__GCF_000271985.2	GCF_000271365.1	GCF_000271985.2
GCF_000271365.1__GCF_001077475.1	GCF_000271365.1	GCF_001077475.1
GCF_000271365.1__GCF_003319235.1	GCF_000271365.1	GCF_003319235.1
GCF_000271365.1__GCF_006364735.1	GCF_000271365.1	GCF_006364735.1
GCF_000271365.1__GCF_013255565.1	GCF_000271365.1	GCF_013255565.1
GCF_000271365.1__GCF_018141625.1	GCF_000271365.1	GCF_018141625.1
GCF_000271985.2__GCF_000504045.1	GCF_000271985.2	GCF_000504045.1
GCF_000271985.2__GCF_000508765.1	GCF_000271985.2	GCF_000508765.1
GCF_000271985.2__GCF_000981825.1	GCF_000271985.2	GCF_000981825.1
GCF_000271985.2__GCF_001516245.2	GCF_000271985.2	GCF_001516245.2
GCF_000271985.2__GCF_001548335.1	GCF_000271985.2	GCF_001548335.1
GCF_000271985.2__GCF_001606045.1	GCF_000271985.2	GCF_001606045.1
GCF_000271985.2__GCF_001792835.1	GCF_000271985.2	GCF_001792835.1
GCF_000271985.2__GCF_001792855.1	GCF_000271985.2	GCF_001792855.1
GCF_000271985.2__GCF_002075065.1	GCF_000271985.2	GCF_002075065.1
GCF_000271985.2__GCF_002411865.3	GCF_000271985.2	GCF_002411865.3
GCF_000271985.2__GCF_002753655.1	GCF_000271985.2	GCF_002753655.1
GCF_000271985.2__GCF_002946935.1	GCF_000271985.2	GCF_002946935.1
GCF_000271985.2__GCF_003052005.2	GCF_000271985.2	GCF_003052005.2
GCF_000271985.2__GCF_003073795.1	GCF_000271985.2	GCF_003073795.1
GCF_000271985.2__GCF_003074115.1	GCF_000271985.2	GCF_003074115.1
GCF_000271985.2__GCF_003194245.1	GCF_000271985.2	GCF_003194245.1
GCF_000271985.2__GCF_003369755.1	GCF_000271985.2	GCF_003369755.1
GCF_000271985.2__GCF_003429185.1	GCF_000271985.2	GCF_003429185.1
GCF_000271985.2__GCF_003429205.1	GCF_000271985.2	GCF_003429205.1
GCF_000271985.2__GCF_004102665.1	GCF_000271985.2	GCF_004102665.1
GCF_000271985.2__GCF_007559105.1	GCF_000271985.2	GCF_007559105.1
GCF_000271985.2__GCF_009867055.1	GCF_000271985.2	GCF_009867055.1
GCF_000271985.2__GCF_012935295.1	GCF_000271985.2	GCF_012935295.1
GCF_000271985.2__GCF_013305645.2	GCF_000271985.2	GCF_013305645.2
GCF_000271985.2__GCF_013305765.1	GCF_000271985.2	GCF_013305765.1
GCF_000271985.2__GCF_015697465.1	GCF_000271985.2	GCF_015697465.1
GCF_000271985.2__GCF_015697665.1	GCF_000271985.2	GCF_015697665.1
GCF_000271985.2__GCF_016745115.1	GCF_000271985.2	GCF_016745115.1
GCF_000271985.2__GCF_018141565.1	GCF_000271985.2	GCF_018141565.1
GCF_000271985.2__GCF_018279265.1	GCF_000271985.2	GCF_018279265.1
GCF_000271985.2__GCF_900095805.1	GCF_000271985.2	GCF_900095805.1
GCF_000271985.2__GCF_900149285.1	GCF_000271985.2	GCF_900149285.1
GCF_000271985.2__GCF_904866275.1	GCF_000271985.2	GCF_904866275.1
GCF_000359505.1__GCF_002237425.1	GCF_000359505.1	GCF_002237425.1
GCF_000359505.1__GCF_003319235.1	GCF_000359505.1	GCF_003319235.1
GCF_000359505.1__GCF_013376775.1	GCF_000359505.1	GCF_013376775.1
GCF_000496605.2__GCF_001077475.1	GCF_000496605.2	GCF_001077475.1
GCF_000504045.1__GCF_013376775.1	GCF_000504045.1	GCF_013376775.1
GCF_000508765.1__GCF_006364735.1	GCF_000508765.1	GCF_006364735.1
GCF_000510305.1__GCF_006364735.1	GCF_000510305.1	GCF_006364735.1
GCF_000524595.1__GCF_000981825.1	GCF_000524595.1	GCF_000981825.1
GCF_000524595.1__GCF_001482325.1	GCF_000524595.1	GCF_001482325.1
GCF_000524595.1__GCF_001516245.2	GCF_000524595.1	GCF_001516245.2
GCF_000524595.1__GCF_001516265.1	GCF_000524595.1	GCF_001516265.1
GCF_000524595.1__GCF_001516325.2	GCF_000524595.1	GCF_001516325.2
GCF_000524595.1__GCF_001518975.1	GCF_000524595.1	GCF_001518975.1
GCF_000524595.1__GCF_001548335.1	GCF_000524595.1	GCF_001548335.1
GCF_000524595.1__GCF_002411865.3	GCF_000524595.1	GCF_002411865.3
GCF_000524595.1__GCF_002753655.1	GCF_000524595.1	GCF_002753655.1
GCF_000524595.1__GCF_002946935.1	GCF_000524595.1	GCF_002946935.1
GCF_000524595.1__GCF_003052005.2	GCF_000524595.1	GCF_003052005.2
GCF_000524595.1__GCF_003073795.1	GCF_000524595.1	GCF_003073795.1
GCF_000524595.1__GCF_003194245.1	GCF_000524595.1	GCF_003194245.1
GCF_000524595.1__GCF_003369755.1	GCF_000524595.1	GCF_003369755.1
GCF_000524595.1__GCF_003429185.1	GCF_000524595.1	GCF_003429185.1
GCF_000524595.1__GCF_007559085.1	GCF_000524595.1	GCF_007559085.1
GCF_000524595.1__GCF_012935295.1	GCF_000524595.1	GCF_012935295.1
GCF_000524595.1__GCF_013343475.1	GCF_000524595.1	GCF_013343475.1
GCF_000524595.1__GCF_013343575.1	GCF_000524595.1	GCF_013343575.1
GCF_000524595.1__GCF_014854655.1	GCF_000524595.1	GCF_014854655.1
GCF_000524595.1__GCF_015697665.1	GCF_000524595.1	GCF_015697665.1
GCF_000524595.1__GCF_900149285.1	GCF_000524595.1	GCF_900149285.1
GCF_000524595.1__GCF_902172305.2	GCF_000524595.1	GCF_902172305.2
GCF_000524595.1__GCF_902703185.1	GCF_000524595.1	GCF_902703185.1
GCF_000981825.1__GCF_001077475.1	GCF_000981825.1	GCF_001077475.1
GCF_000981825.1__GCF_003319235.1	GCF_000981825.1	GCF_003319235.1
GCF_000981825.1__GCF_006364735.1	GCF_000981825.1	GCF_006364735.1
GCF_000981825.1__GCF_018141625.1	GCF_000981825.1	GCF_018141625.1
GCF_001045685.1__GCF_003319235.1	GCF_001045685.1	GCF_003319235.1
GCF_001077475.1__GCF_001293085.1	GCF_001077475.1	GCF_001293085.1
GCF_001077475.1__GCF_001516305.2	GCF_001077475.1	GCF_001516305.2
GCF_001077475.1__GCF_001518975.1	GCF_001077475.1	GCF_001518975.1
GCF_001077475.1__GCF_001594325.2	GCF_001077475.1	GCF_001594325.2
GCF_001077475.1__GCF_002411865.3	GCF_001077475.1	GCF_002411865.3
GCF_001077475.1__GCF_002753655.1	GCF_001077475.1	GCF_002753655.1
GCF_001077475.1__GCF_002946935.1	GCF_001077475.1	GCF_002946935.1
GCF_001077475.1__GCF_003369755.1	GCF_001077475.1	GCF_003369755.1
GCF_001077475.1__GCF_003429185.1	GCF_001077475.1	GCF_003429185.1
GCF_001077475.1__GCF_009676885.1	GCF_001077475.1	GCF_009676885.1
GCF_001077475.1__GCF_009905195.1	GCF_001077475.1	GCF_009905195.1
GCF_001077475.1__GCF_015697665.1	GCF_001077475.1	GCF_015697665.1
GCF_001077475.1__GCF_900618255.1	GCF_001077475.1	GCF_900618255.1
GCF_001077475.1__GCF_900618265.1	GCF_001077475.1	GCF_900618265.1
GCF_001077475.1__GCF_900618325.1	GCF_001077475.1	GCF_900618325.1
GCF_001077475.1__GCF_900618335.1	GCF_001077475.1	GCF_900618335.1
GCF_001086805.1__GCF_013375795.1	GCF_001086805.1	GCF_013375795.1
