accession	core_cov	abfA_status	hypba_status	phenotype
BlongumB3_ctg	1.0	complete	complete	unknown
BlongumL6_ctg	1.0	deleted	complete	unknown
C-1-A4_ctg	0.9126516880932356	complete	deleted	unknown
C1-A13_ctg	0.9126516880932356	complete	deleted	unknown
C57BLSB22_ctg	1.0	deleted	complete	unknown
CCFM1029_ctg	1.0	complete	complete	unknown
CCFM685_ctg	0.910248708398414	complete	deleted	unknown
CCFM686_ctg	1.0	deleted	complete	unknown
CCFM752_ctg	1.0	deleted	complete	unknown
CCFM756_ctg	1.0	deleted	complete	unknown
CCFM760_ctg	0.9126516880932356	complete	deleted	unknown
CCFM762_ctg	1.0	deleted	complete	unknown
FBJ11M1_ctg	0.9131322840321999	complete	complete	unknown
FBJ14M2_ctg	1.0	complete	complete	unknown
FBJ15M2_ctg	1.0	deleted	complete	unknown
FBJ19M2_ctg	1.0	complete	complete	unknown
FBJ20M1_ctg	0.9126516880932356	complete	deleted	unknown
FBJ9M5_ctg	1.0	complete	complete	unknown
FGDLZ19M5_ctg	1.0	complete	complete	unknown
FGDLZ42_ctg	0.9197404781929592	complete	deleted	unknown
FGDLZ4M1_ctg	1.0	complete	complete	unknown
FGDLZ5M1_ctg	1.0	complete	complete	unknown
FGDLZ63M1_ctg	1.0	complete	complete	unknown
FGDLZ72M1_ctg	1.0	complete	complete	unknown
FGDLZ73M1_ctg	1.0	complete	complete	unknown
FGDLZ74M1_ctg	1.0	deleted	complete	unknown
FGDLZ78M2_ctg	0.9131322840321999	complete	complete	unknown
FGDLZ8M1_ctg	1.0	complete	complete	unknown
FGSYC16M1_ctg	1.0	complete	complete	unknown
FGSYC28M4_ctg	1.0	complete	complete	unknown
FGSYC28M5_ctg	1.0	complete	complete	unknown
FGSYC85M1_ctg	0.6054307341102968	deleted	deleted	unknown
FGSZY16M3_ctg	0.9131322840321999	complete	deleted	unknown
FGSZY56M3_ctg	0.9131322840321999	complete	deleted	unknown
FGSZY6M4_ctg	0.9126516880932356	deleted	deleted	unknown
FGXBM12M1_ctg	1.0	complete	complete	unknown
FGXBM14M6_ctg	1.0	complete	complete	unknown
FGXBM15M1_ctg	1.0	complete	deleted	unknown
FGZ16I2M1_ctg	1.0	complete	complete	unknown
FGZ16MM1_ctg	1.0	complete	deleted	unknown
FGZ16_I1_M5_ctg	1.0	complete	complete	unknown
FGZ16_I1_M6_ctg	1.0	complete	complete	unknown
FGZ17I1M2_ctg	0.9131322840321999	complete	complete	unknown
FGZ19MM7_ctg	1.0	complete	complete	unknown
FGZ35I1M4_ctg	1.0	complete	deleted	unknown
FGZ35MM1_ctg	1.0	complete	deleted	unknown
FGZ6MM10_ctg	0.9953141895950979	complete	complete	unknown
FGZ6_I1_M3_ctg	0.6059113300492611	complete	deleted	unknown
FGZ6_I1_M6_ctg	0.6059113300492611	complete	deleted	unknown
FHNBA16M1_ctg	0.9151748167727982	complete	deleted	unknown
FHNBA1M1_ctg	1.0	complete	complete	unknown
FHNBA28M10_ctg	0.9126516880932356	complete	complete	unknown
FHNBA3M1_ctg	0.6657455244503184	complete	complete	unknown
FHNBA4M1_ctg	0.9126516880932356	complete	complete	unknown
FHNBO41M2_ctg	1.0	deleted	deleted	unknown
FHaNCM24GMM6_ctg	0.9131322840321999	deleted	deleted	unknown
FHaNCM25GMM1_ctg	1.0	complete	complete	unknown
FHeJZ25M6_ctg	1.0	deleted	complete	unknown
FHeJZ28M10_ctg	1.0	complete	deleted	unknown
FHuBZX17M2_ctg	0.9126516880932356	complete	deleted	unknown
FHuBZX1M1_ctg	0.9126516880932356	complete	deleted	unknown
FHuBZX30M2_ctg	1.0	complete	complete	unknown
FJSNT19M1_ctg	1.0	complete	complete	unknown
FJSNT19M2_ctg	1.0	complete	complete	unknown
FJSNT19M3_ctg	1.0	complete	complete	unknown
FJSNT19M4_ctg	1.0	complete	complete	unknown
FJSNT19M5_ctg	1.0	complete	complete	unknown
FJSNT19M6_ctg	1.0	complete	complete	unknown
FJSNT19M7_ctg	1.0	complete	complete	unknown
FJSNT19M8_ctg	1.0	complete	complete	unknown
FJSNT19M9_ctg	1.0	complete	complete	unknown
FJSNT32M4_ctg	1.0	complete	deleted	unknown
FJSNT39M10_ctg	1.0	complete	complete	unknown
FJSNT40M12_ctg	0.8875405502823501	complete	complete	unknown
FJSNT45M1_ctg	1.0	complete	complete	unknown
FJSNT46M2_ctg	1.0	complete	complete	unknown
FJSNT49M3_ctg	0.9126516880932356	deleted	deleted	unknown
FJSNT49M4_ctg	0.9126516880932356	deleted	deleted	unknown
FJSNT53M9_ctg	1.0	complete	complete	unknown
FJSNT54M6_ctg	1.0	complete	complete	unknown
FJSNT70M6_ctg	1.0	complete	complete	unknown
FJSNTY49M10_ctg	0.9126516880932356	deleted	deleted	unknown
FJSWX14M1_ctg	0.9198606271777003	complete	deleted	unknown
FJSWX30M1_ctg	1.0	complete	complete	unknown
FJSWX38M1_ctg	0.9131322840321999	complete	deleted	unknown
FJSWX9M2_ctg	1.0	complete	deleted	unknown
FJSWXJ10M2_ctg	1.0	complete	complete	unknown
FJSWXJ11M1_ctg	1.0	complete	complete	unknown
FJSWXJ12M2_ctg	1.0	complete	complete	unknown
FJSWXJ13M2_ctg	0.9131322840321999	complete	deleted	unknown
FJSWXJ17M1_ctg	1.0	complete	complete	unknown
FJSWXJ18M1_ctg	1.0	complete	complete	unknown
FJSWXJ20M1_ctg	0.9446113180343626	complete	complete	unknown
FJSWXJ21M1_ctg	1.0	complete	deleted	unknown
FJSWXJ24M1_ctg	1.0	deleted	complete	unknown
FJSWXJ2M1_ctg	1.0	complete	complete	unknown
FJSWXJ37M4_ctg	0.9131322840321999	complete	deleted	unknown
FJSWXJ39M4_ctg	0.9131322840321999	deleted	deleted	unknown
FJSWXJ3M1_ctg	0.9131322840321999	deleted	deleted	unknown
FJSWXJ41M1_ctg	1.0	complete	deleted	unknown
FJSWXJ43M4_ctg	1.0	complete	complete	unknown
FJSWXJ5M1_ctg	0.9131322840321999	complete	deleted	unknown
FSCCD3M1_ctg	1.0	complete	complete	unknown
FSCCD5M1_ctg	1.0	complete	complete	unknown
FSCDJY15M2_ctg	1.0	complete	complete	unknown
FSCDJY6M1_ctg	1.0	complete	complete	unknown
FSCDJY7M2_ctg	1.0	complete	complete	unknown
FSCREG14M4-2-1_ctg	0.9126516880932356	deleted	deleted	unknown
FSCREG2M3-3_ctg	1.0	complete	deleted	unknown
FSCREG6M5-3_ctg	1.0	complete	complete	unknown
FSCREG7M3-3_ctg	1.0	complete	deleted	unknown
FSDJN3M1_ctg	0.9126516880932356	deleted	deleted	unknown
FSDJN6M3_ctg	0.8632704553646522	deleted	deleted	unknown
FSDLZ46M1_ctg	1.0	complete	deleted	unknown
FSDLZ50M2_ctg	1.0	deleted	complete	unknown
FSDLZ51M1_ctg	1.0	complete	complete	unknown
FSDLZ56M1_ctg	1.0	complete	deleted	unknown
FSDLZ59M1_ctg	1.0	deleted	complete	unknown
FSDLZ61M5_ctg	1.0	deleted	complete	unknown
FSDTA2M6_ctg	1.0	deleted	complete	unknown
FSDTA5M1_ctg	1.0	deleted	complete	unknown
FSDTA7M1_ctg	1.0	deleted	complete	unknown
FSHHK13M1_ctg	0.9126516880932356	complete	deleted	unknown
FSHHK15M2_ctg	0.9126516880932356	deleted	deleted	unknown
FSHHK17M1_ctg	1.0	complete	deleted	unknown
FSHHK18M1_ctg	1.0	complete	complete	unknown
FSHHK21M1_ctg	0.9131322840321999	complete	deleted	unknown
FSHHK22M1_ctg	1.0	complete	complete	unknown
FSHHK25M1_ctg	1.0	complete	complete	unknown
FXJWS23M10_ctg	0.9131322840321999	deleted	deleted	unknown
FXJWS23M13_ctg	1.0	deleted	complete	unknown
FXJWS23M14_ctg	1.0	deleted	complete	unknown
FXJWS23M15_ctg	1.0	deleted	complete	unknown
FXJWS23M55_ctg	0.9131322840321999	deleted	deleted	unknown
FXJWS23M56_ctg	1.0	deleted	complete	unknown
FXJWS23M57_ctg	0.8590652408987144	complete	complete	unknown
FXJWS23M58_ctg	0.8501742160278746	deleted	complete	unknown
FXJWS23M59_ctg	1.0	deleted	complete	unknown
FXJWS23M60_ctg	1.0	deleted	complete	unknown
FXJWS23M61_ctg	1.0	deleted	complete	unknown
FXJWS23M7_ctg	1.0	deleted	complete	unknown
FXJWS23M8_ctg	0.9131322840321999	deleted	deleted	unknown
FXJWS49M11_ctg	0.9126516880932356	deleted	deleted	unknown
FXJWS49M12_ctg	0.9126516880932356	deleted	deleted	unknown
FXJWS49M14_ctg	0.9131322840321999	deleted	deleted	unknown
FXJWS49M16_ctg	0.9126516880932356	deleted	deleted	unknown
FXJWS49M17_ctg	0.9126516880932356	deleted	deleted	unknown
FXJWS49M18_ctg	0.9126516880932356	deleted	deleted	unknown
FXJWS49M20_ctg	0.9126516880932356	deleted	deleted	unknown
FXJWS49M23_ctg	0.9126516880932356	deleted	deleted	unknown
FXJWS49M30_ctg	0.9126516880932356	deleted	deleted	unknown
FXJWS49M32_ctg	0.9126516880932356	deleted	deleted	unknown
FXJWS49M36_ctg	0.9131322840321999	deleted	deleted	unknown
FXJWS49M40_ctg	0.9126516880932356	deleted	deleted	unknown
FXJWS49M47_ctg	0.9126516880932356	deleted	deleted	unknown
FXJWS49M9_ctg	0.9126516880932356	deleted	deleted	unknown
FXZDX24M5-1_ctg	1.0	deleted	complete	unknown
FYNDL2M1_ctg	0.9174576474828787	complete	deleted	unknown
FYNLJ22M3_ctg	1.0	complete	complete	unknown
FZXDX6M3-2_ctg	1.0	complete	deleted	unknown
F_FJ_ND_D11_M_1_ctg	1.0	complete	complete	unknown
F_FJ_ND_D13_M_1_ctg	1.0	complete	complete	unknown
F_FJ_ND_D15_M_1_ctg	1.0	complete	complete	unknown
F_JS_CZ_D12_M_1_ctg	1.0	complete	complete	unknown
F_JS_NJ_1_M1_ctg	0.9126516880932356	complete	deleted	unknown
F_SD_HZ_D2_M_4_ctg	1.0	complete	complete	unknown
F_SD_HZ_D3_M_3_ctg	1.0	complete	complete	unknown
F_ZJ_TZ_1_M1_ctg	0.9131322840321999	complete	deleted	unknown
GX17-A9_ctg	1.0	complete	complete	unknown
HAN2-1_ctg	1.0	complete	deleted	unknown
HAN4-25_ctg	1.0	complete	complete	unknown
HAN42-10_ctg	1.0	complete	deleted	unknown
HUB2-25_ctg	1.0	complete	complete	unknown
HUB29-14_ctg	0.9131322840321999	complete	deleted	unknown
HUB36-17_ctg	0.913252433016941	complete	deleted	unknown
HUB37-A12_ctg	0.6059113300492611	complete	deleted	unknown
HUB6_1_ctg	0.9174576474828787	complete	deleted	unknown
K2_ctg	1.0	complete	complete	unknown
M1-20-R01-3_ctg	0.8464495975009011	complete	deleted	unknown
