stage	scale	n_genomes	n_pairs	wall_s_median	wall_s_min	wall_s_max	timing_status	derivation_note	source
total_end_to_end_fasta_mode	n2	2	4	0.120	0.120	0.120	measured	stages 1+3+4+5 combined: in-memory digestion of both lists + screen + chaining + MLE (no sketch I/O); 3 reps, /usr/bin/time -l	results/efficiency_v8/runtime_scaling.tsv (tool=syn2bani, mode=ani_fasta, n=2)
total_end_to_end_fasta_mode	n5	5	25	0.440	0.440	0.450	measured	stages 1+3+4+5 combined: in-memory digestion of both lists + screen + chaining + MLE (no sketch I/O); 3 reps, /usr/bin/time -l	results/efficiency_v8/runtime_scaling.tsv (tool=syn2bani, mode=ani_fasta, n=5)
total_end_to_end_fasta_mode	n10	10	100	1.210	1.200	1.220	measured	stages 1+3+4+5 combined: in-memory digestion of both lists + screen + chaining + MLE (no sketch I/O); 3 reps, /usr/bin/time -l	results/efficiency_v8/runtime_scaling.tsv (tool=syn2bani, mode=ani_fasta, n=10)
total_end_to_end_fasta_mode	n15	15	225	2.030	2.000	2.040	measured	stages 1+3+4+5 combined: in-memory digestion of both lists + screen + chaining + MLE (no sketch I/O); 3 reps, /usr/bin/time -l	results/efficiency_v8/runtime_scaling.tsv (tool=syn2bani, mode=ani_fasta, n=15)
total_end_to_end_fasta_mode	n22	22	484	3.730	3.690	3.770	measured	stages 1+3+4+5 combined: in-memory digestion of both lists + screen + chaining + MLE (no sketch I/O); 3 reps, /usr/bin/time -l	results/efficiency_v8/runtime_scaling.tsv (tool=syn2bani, mode=ani_fasta, n=22)
total_end_to_end_sketch_mode	n2	2	4	0.040	0.040	0.040	measured	stages 3+4+5 combined + .s2ba load: screen + chaining + MLE (digestion done offline by `sketch`); 3 reps, /usr/bin/time -l	results/efficiency_v8/runtime_scaling.tsv (tool=syn2bani, mode=ani_sketches, n=2)
total_end_to_end_sketch_mode	n5	5	25	0.240	0.240	0.240	measured	stages 3+4+5 combined + .s2ba load: screen + chaining + MLE (digestion done offline by `sketch`); 3 reps, /usr/bin/time -l	results/efficiency_v8/runtime_scaling.tsv (tool=syn2bani, mode=ani_sketches, n=5)
total_end_to_end_sketch_mode	n10	10	100	0.830	0.820	0.830	measured	stages 3+4+5 combined + .s2ba load: screen + chaining + MLE (digestion done offline by `sketch`); 3 reps, /usr/bin/time -l	results/efficiency_v8/runtime_scaling.tsv (tool=syn2bani, mode=ani_sketches, n=10)
total_end_to_end_sketch_mode	n15	15	225	1.390	1.380	1.390	measured	stages 3+4+5 combined + .s2ba load: screen + chaining + MLE (digestion done offline by `sketch`); 3 reps, /usr/bin/time -l	results/efficiency_v8/runtime_scaling.tsv (tool=syn2bani, mode=ani_sketches, n=15)
total_end_to_end_sketch_mode	n22	22	484	2.790	2.780	2.820	measured	stages 3+4+5 combined + .s2ba load: screen + chaining + MLE (digestion done offline by `sketch`); 3 reps, /usr/bin/time -l	results/efficiency_v8/runtime_scaling.tsv (tool=syn2bani, mode=ani_sketches, n=22)
sketch_cmd_digest_build_write	n2	2	NA	0.040	0.040	0.040	measured	stages 1+2 combined (in-silico digestion + sketch build + disk write); NOT separable into digestion vs build/write from these data	results/efficiency_v8/sketch_benchmark.tsv (tool=syn2bani, n=2)
sketch_cmd_digest_build_write	n5	5	NA	0.110	0.110	0.120	measured	stages 1+2 combined (in-silico digestion + sketch build + disk write); NOT separable into digestion vs build/write from these data	results/efficiency_v8/sketch_benchmark.tsv (tool=syn2bani, n=5)
sketch_cmd_digest_build_write	n10	10	NA	0.210	0.210	0.220	measured	stages 1+2 combined (in-silico digestion + sketch build + disk write); NOT separable into digestion vs build/write from these data	results/efficiency_v8/sketch_benchmark.tsv (tool=syn2bani, n=10)
sketch_cmd_digest_build_write	n15	15	NA	0.340	0.340	0.350	measured	stages 1+2 combined (in-silico digestion + sketch build + disk write); NOT separable into digestion vs build/write from these data	results/efficiency_v8/sketch_benchmark.tsv (tool=syn2bani, n=15)
sketch_cmd_digest_build_write	n22	22	NA	0.500	0.500	0.510	measured	stages 1+2 combined (in-silico digestion + sketch build + disk write); NOT separable into digestion vs build/write from these data	results/efficiency_v8/sketch_benchmark.tsv (tool=syn2bani, n=22)
in_silico_digestion	n2	2	NA	0.080	NA	NA	derived_upper_bound	median(ani_fasta) - median(ani_sketches); upper bound because the sketch-mode term also pays .s2ba load I/O and FASTA parsing is bundled in here. Cross-check is inconsistent at sub-second scale: the whole `sketch` command (digest+build+write of the same genomes) measured 0.50-0.51 s at n=22, so treat ~0.9 s as I/O-noisy.	results/efficiency_v8/runtime_scaling.tsv (derived, n=2)
in_silico_digestion	n5	5	NA	0.200	NA	NA	derived_upper_bound	median(ani_fasta) - median(ani_sketches); upper bound because the sketch-mode term also pays .s2ba load I/O and FASTA parsing is bundled in here. Cross-check is inconsistent at sub-second scale: the whole `sketch` command (digest+build+write of the same genomes) measured 0.50-0.51 s at n=22, so treat ~0.9 s as I/O-noisy.	results/efficiency_v8/runtime_scaling.tsv (derived, n=5)
in_silico_digestion	n10	10	NA	0.380	NA	NA	derived_upper_bound	median(ani_fasta) - median(ani_sketches); upper bound because the sketch-mode term also pays .s2ba load I/O and FASTA parsing is bundled in here. Cross-check is inconsistent at sub-second scale: the whole `sketch` command (digest+build+write of the same genomes) measured 0.50-0.51 s at n=22, so treat ~0.9 s as I/O-noisy.	results/efficiency_v8/runtime_scaling.tsv (derived, n=10)
in_silico_digestion	n15	15	NA	0.640	NA	NA	derived_upper_bound	median(ani_fasta) - median(ani_sketches); upper bound because the sketch-mode term also pays .s2ba load I/O and FASTA parsing is bundled in here. Cross-check is inconsistent at sub-second scale: the whole `sketch` command (digest+build+write of the same genomes) measured 0.50-0.51 s at n=22, so treat ~0.9 s as I/O-noisy.	results/efficiency_v8/runtime_scaling.tsv (derived, n=15)
in_silico_digestion	n22	22	NA	0.940	NA	NA	derived_upper_bound	median(ani_fasta) - median(ani_sketches); upper bound because the sketch-mode term also pays .s2ba load I/O and FASTA parsing is bundled in here. Cross-check is inconsistent at sub-second scale: the whole `sketch` command (digest+build+write of the same genomes) measured 0.50-0.51 s at n=22, so treat ~0.9 s as I/O-noisy.	results/efficiency_v8/runtime_scaling.tsv (derived, n=22)
screen_pass1_index_lookup	n22	22	484	NA	NA	NA	not_separately_timed	merged with chaining+MLE: screen+chain+MLE together = 2.79 s (sketch mode). Bound: 0 < t_screen < 2.79 s. Cross-scale anchor: rewritten triangle at n=500 screens 124,750 pairs AND refines 21,595 in 8.5 s total, so screen is not the dominant cost even at 250x the pair count; no exact split available locally.	results/efficiency_v8/runtime_scaling.tsv (no per-stage log output exists)
chaining_anchor_dp	n22	22	484	NA	NA	NA	not_separately_timed	single chain_ani::compute call per pair, merged with screen and MLE in the 2.79 s sketch-mode total; no independent timer in any local log	results/efficiency_v8/runtime_scaling.tsv
mle_fit_plus_calibration	n22	22	484	NA	NA	NA	not_separately_timed	MLE fit shares the per-pair chain_ani::compute call; --calibrate applies a linear model (sub-ms/pair, not measurable at this scale). Merged total for stages 3+4+5 = 2.79 s. Marginal per-pair cost of stages 3+4+5 derived as 5.73 ms/pair = (median(ani_sk,n22) - median(ani_sk,n2)) / (484-4).	results/efficiency_v8/runtime_scaling.tsv (derived)
