group	value	tool	n	MAE	median_abs_err	bias	within_0.1	within_0.5	within_1.0
overall	all	syn2bani	695	0.1628	0.0919	0.1562	0.5338	0.9424	0.9871
overall	all	syn2bani_raw_gated	695	0.1628	0.0919	0.1562	0.5338	0.9424	0.9871
overall	all	skani	695	0.0923	0.0300	0.0548	0.7971	0.9669	0.9914
overall	all	FastANI	633	0.2033	0.0654	-0.1187	0.7109	0.9084	0.9463
dataset	marine	syn2bani	485	0.1509	0.0930	0.1498	0.5278	0.9588	0.9876
dataset	marine	syn2bani_raw_gated	485	0.1509	0.0930	0.1498	0.5278	0.9588	0.9876
dataset	marine	skani	485	0.0700	0.0300	0.0522	0.8454	0.9814	0.9938
dataset	marine	FastANI	454	0.1976	0.0668	-0.0992	0.7181	0.9141	0.9471
dataset	strain	syn2bani	210	0.1902	0.0916	0.1711	0.5476	0.9048	0.9857
dataset	strain	syn2bani_raw_gated	210	0.1902	0.0916	0.1711	0.5476	0.9048	0.9857
dataset	strain	skani	210	0.1440	0.0500	0.0610	0.6857	0.9333	0.9857
dataset	strain	FastANI	179	0.2178	0.0625	-0.1680	0.6927	0.8939	0.9441
tier	HQ	syn2bani	200	0.0410	0.0307	0.0408	0.9250	1.0000	1.0000
tier	HQ	syn2bani_raw_gated	200	0.0410	0.0307	0.0408	0.9250	1.0000	1.0000
tier	HQ	skani	200	0.0236	0.0200	0.0174	0.9900	1.0000	1.0000
tier	HQ	FastANI	200	0.0304	0.0179	0.0120	0.9700	1.0000	1.0000
tier	LQ	syn2bani	285	0.2910	0.1862	0.2786	0.1930	0.8667	0.9719
tier	LQ	syn2bani_raw_gated	285	0.2910	0.1862	0.2786	0.1930	0.8667	0.9719
tier	LQ	skani	285	0.1595	0.0600	0.1069	0.6281	0.9263	0.9789
tier	LQ	FastANI	223	0.4262	0.1009	-0.3213	0.4978	0.7848	0.8610
tier	MQ	syn2bani	210	0.1047	0.0827	0.1000	0.6238	0.9905	0.9952
tier	MQ	syn2bani_raw_gated	210	0.1047	0.0827	0.1000	0.6238	0.9905	0.9952
tier	MQ	skani	210	0.0667	0.0300	0.0198	0.8429	0.9905	1.0000
tier	MQ	FastANI	210	0.1313	0.0746	-0.0280	0.6905	0.9524	0.9857
class	clean	syn2bani	305	0.0835	0.0581	0.0832	0.6656	1.0000	1.0000
class	clean	syn2bani_raw_gated	305	0.0835	0.0581	0.0832	0.6656	1.0000	1.0000
class	clean	skani	305	0.0304	0.0200	0.0090	0.9541	1.0000	1.0000
class	clean	FastANI	288	0.0550	0.0494	0.0437	0.8715	0.9965	1.0000
class	cross-species	syn2bani	137	0.3260	0.1666	0.3136	0.2847	0.8321	0.9489
class	cross-species	syn2bani_raw_gated	137	0.3260	0.1666	0.3136	0.2847	0.8321	0.9489
class	cross-species	skani	137	0.1958	0.0900	0.1699	0.5255	0.8978	0.9781
class	cross-species	FastANI	114	0.6562	0.1873	-0.6046	0.4123	0.6316	0.7632
class	strain-mixed	syn2bani	253	0.1699	0.0967	0.1590	0.5099	0.9328	0.9921
class	strain-mixed	syn2bani_raw_gated	253	0.1699	0.0967	0.1590	0.5099	0.9328	0.9921
class	strain-mixed	skani	253	0.1110	0.0500	0.0478	0.7549	0.9644	0.9881
class	strain-mixed	FastANI	231	0.1647	0.0656	-0.0813	0.6580	0.9351	0.9697
af_tier	low-AF	syn2bani	40	0.4608	0.3384	0.4602	0.1750	0.7250	0.9250
af_tier	low-AF	syn2bani_raw_gated	40	0.4608	0.3384	0.4602	0.1750	0.7250	0.9250
af_tier	low-AF	skani	40	0.3495	0.2900	0.2745	0.2250	0.8500	0.9250
af_tier	low-AF	FastANI	24	1.3551	1.0485	-1.3490	0.0833	0.2083	0.4583
af_tier	strict	syn2bani	638	0.1286	0.0837	0.1238	0.5690	0.9671	0.9953
af_tier	strict	syn2bani_raw_gated	638	0.1286	0.0837	0.1238	0.5690	0.9671	0.9953
af_tier	strict	skani	638	0.0665	0.0300	0.0311	0.8495	0.9812	0.9969
af_tier	strict	FastANI	602	0.1343	0.0618	-0.0456	0.7442	0.9468	0.9751
af_tier	verylow-AF	syn2bani	17	0.7442	0.4702	0.6566	0.0588	0.5294	0.8235
af_tier	verylow-AF	syn2bani_raw_gated	17	0.7442	0.4702	0.6566	0.0588	0.5294	0.8235
af_tier	verylow-AF	skani	17	0.4559	0.2800	0.4288	0.1765	0.7059	0.9412
af_tier	verylow-AF	FastANI	7	2.1858	2.6216	-2.1858	0.0000	0.0000	0.1429
