query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig1	23292	25538	FSHHK16M1_ctg_contig7	104546	107810	1018	43	38
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig1	27499	28525	FSHHK16M1_ctg_contig7	109772	117921	7123	48	33
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FJSWXJ20M1_ctg_contig1	43555	44780	FSHHK16M1_ctg_contig11	2618	2618	1225	81	77
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWXJ20M1_ctg_contig1	77247	82495	FSHHK16M1_ctg_contig11	35065	35684	4629	77	17
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig1	113134	113919	FSHHK16M1_ctg_contig11	66041	69391	2565	31	39
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FJSWXJ20M1_ctg_contig1	132153	133883	FSHHK16M1_ctg_contig2	362	362	1730	70	57
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWXJ20M1_ctg_contig1	165503	174044	FSHHK16M1_ctg_contig2	31790	33308	7023	57	314
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig1	302473	303179	FSHHK16M1_ctg_contig2	161410	163935	1819	275	39
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWXJ20M1_ctg_contig2	18192	21839	FSHHK16M1_ctg_contig1	314065	316374	1338	28	5
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig2	23004	34332	FSHHK16M1_ctg_contig1	317258	340843	12257	33	80
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWXJ20M1_ctg_contig2	36693	38935	FSHHK16M1_ctg_contig1	343204	343822	1624	6	74
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWXJ20M1_ctg_contig2	39259	42810	FSHHK16M1_ctg_contig1	344146	345271	2426	8	72
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig2	71270	76645	FSHHK16M1_ctg_contig1	374955	383097	2767	80	261
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig2	82034	82376	FSHHK16M1_ctg_contig1	389250	393507	3915	10	251
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig2	190686	191040	FSHHK16M1_ctg_contig1	501752	504971	2865	254	7
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWXJ20M1_ctg_contig2	193743	232929	FSHHK16M1_ctg_contig1	507674	508418	38442	261	4
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWXJ20M1_ctg_contig4	189315	196070	FSHHK16M1_ctg_contig1	867815	872809	1761	364	91
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FJSWXJ20M1_ctg_contig5	70106	72253	FSHHK16M1_ctg_contig3	122765	122765	2147	134	228
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FJSWXJ20M1_ctg_contig5	72085	190828	FSHHK16M1_ctg_contig3	1157	122934	118743	134	0
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWXJ20M1_ctg_contig5	72581	77581	FSHHK16M1_ctg_contig3	119373	122437	1936	3	225
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig5	127055	128335	FSHHK16M1_ctg_contig3	65141	69987	3566	97	131
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig5	159369	161281	FSHHK16M1_ctg_contig3	30678	34107	1517	170	58
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FJSWXJ20M1_ctg_contig6	974	29413	FSHHK16M1_ctg_contig2	203216	231798	28439	0	0
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FJSWXJ20M1_ctg_contig7	13409	161561	FSHHK16M1_ctg_contig4	40662	195061	148152	0	0
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig7	104277	104880	FSHHK16M1_ctg_contig4	103030	104740	1107	200	122
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig7	157002	158897	FSHHK16M1_ctg_contig4	43324	50886	5667	314	8
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FJSWXJ20M1_ctg_contig8	0	38099	FSHHK16M1_ctg_contig4	0	39054	38099	0	0
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FJSWXJ20M1_ctg_contig9	0	11358	FSHHK16M1_ctg_contig9	241	11621	11358	0	146
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FJSWXJ20M1_ctg_contig9	11234	12305	FSHHK16M1_ctg_contig8	75607	75607	1071	32	146
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FJSWXJ20M1_ctg_contig9	12168	82943	FSHHK16M1_ctg_contig8	956	75744	70775	32	157
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig9	49654	54464	FSHHK16M1_ctg_contig8	29433	37451	3208	85	61
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FJSWXJ20M1_ctg_contig9	82806	84251	FSHHK16M1_ctg_contig6	185329	185329	1445	146	157
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FJSWXJ20M1_ctg_contig9	84069	166521	FSHHK16M1_ctg_contig6	102998	185511	82452	146	0
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FJSWXJ20M1_ctg_contig10	0	10204	FSHHK16M1_ctg_contig6	92896	103146	10204	0	0
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWXJ20M1_ctg_contig11	17937	28719	FSHHK16M1_ctg_contig1	578025	580016	8791	35	54
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig11	104989	106657	FSHHK16M1_ctg_contig1	655627	658299	1004	57	25
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWXJ20M1_ctg_contig11	114145	118549	FSHHK16M1_ctg_contig1	666632	667383	3653	82	20
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FJSWXJ20M1_ctg_contig13	1469	15148	FSHHK16M1_ctg_contig10	84792	98053	13679	0	91
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWXJ20M1_ctg_contig13	14859	32117	FSHHK16M1_ctg_contig10	84474	85079	16653	22	91
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FJSWXJ20M1_ctg_contig13	31957	77717	FSHHK16M1_ctg_contig10	38920	84637	45760	22	44
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWXJ20M1_ctg_contig13	77557	81331	FSHHK16M1_ctg_contig10	36913	39083	1604	91	44
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FJSWXJ20M1_ctg_contig13	81144	105081	FSHHK16M1_ctg_contig10	13112	37102	23937	91	0
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FJSWXJ20M1_ctg_contig14	718	12230	FSHHK16M1_ctg_contig10	1135	12651	11512	0	0
FJSWXJ20M1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWXJ20M1_ctg_contig15	58050	62103	FSHHK16M1_ctg_contig1	58135	63407	1219	109	67
