case	query_species	reference_species	ani	anchor_adjacency	breakpoint_count	n_chains	n_inversions	n_translocations	n_indels	total_indel_bp	n_query_contigs	n_ref_contigs	query_len	ref_len	aligned_query_bp	aligned_ref_bp	mean_indel_bp	max_indel_bp	af_query	af_reference	n_anchors	n_tags
GCA_002295565.1__GCA_002480705.1	Bdellovibrionaceae bacterium UBA840	Bdellovibrionaceae bacterium UBA7794	99.9991	0.9721	106	105	55	49	0	0	52	105	3658251	3493749	3380312	3381946	0.0	0	0.9112	0.9383	3852	3798
GCA_002323055.1__GCA_002792255.1	Candidatus Saccharibacteria bacterium UBA1547	Candidatus Saccharibacteria bacterium CG_4_10_14_0_2_um_filter_41_11	99.99	0.965	23	22	12	9	0	0	9	22	757666	751805	689605	687526	0.0	0	0.9091	0.9008	667	658
GCA_003156515.1__GCA_003169085.1	Acidimicrobiaceae bacterium	Acidimicrobiaceae bacterium	99.9483	0.9814	79	117	49	67	0	0	64	91	2415617	2469203	2297930	2296403	0.0	0	0.9467	0.921	4315	4315
GCA_018380915.1__GCA_905371925.1	Bifidobacterium scardovii	Bifidobacterium scardovii	99.9836	0.9762	162	177	91	84	1	76597	97	118	2960707	3020623	2774345	2773133	76597.0	76597	0.924	0.9168	6907	6827
GCA_903835775.1__GCA_903889485.1	uncultured Anaerolineae bacterium	uncultured Anaerolineae bacterium	99.9988	0.9754	129	113	55	57	0	0	36	111	3761036	3637735	3513091	3506646	0.0	0	0.9308	0.9268	5283	5229
GCA_903843165.1__GCA_903889485.1	uncultured Anaerolineae bacterium	uncultured Anaerolineae bacterium	99.9982	0.9769	121	115	59	55	0	0	37	112	3751372	3635379	3508912	3502550	0.0	0	0.9319	0.9257	5269	5227
GCF_000018245.1__GCF_002078315.1	Rickettsia bellii OSU 85-389	Rickettsia bellii	99.6659	0.8284	197	18	8	0	9	2730883	1	1	1528980	1543886	1474689	1466175	303431.4	1383698	0.9637	0.928	1149	1009
GCF_000278175.1__GCF_002022705.1	Bartonella elizabethae Re6043vi	Bartonella elizabethae	99.9457	0.9481	110	32	14	17	0	0	6	29	1956888	1856491	1813759	1808942	0.0	0	0.9254	0.9211	2125	2062
GCF_000965005.1__GCF_000965045.1	Rickettsia bellii str. RML An4	Rickettsia bellii str. RML Mogi	99.6646	0.826	195	27	16	0	10	2784371	1	1	1543880	1549351	1445822	1471473	278437.1	1538037	0.9312	0.9084	1122	979
GCF_001534765.1__GCF_003660425.1	Kurthia sp. 11kri321	Kurthia gibsonii	99.0422	0.9573	96	39	12	19	7	115167	1	31	2964527	2854356	2691309	2711741	16452.4	40668	0.907	0.9227	2248	2343
GCF_001555555.1__GCF_002888235.1	Burkholderia thailandensis	Burkholderia thailandensis 2002721723	99.9172	0.9655	611	240	123	106	4	63393	4	210	6708079	6311208	6096356	6116699	15848.2	30112	0.9082	0.9468	17702	17444
GCF_001702115.1__GCF_002907065.1	Fructilactobacillus lindneri	Fructilactobacillus lindneri	99.9966	0.9417	61	13	6	5	1	12243	1	11	1389742	1332829	1324604	1321844	12243.0	12243	0.9531	0.936	1048	1001
GCF_002128025.1__GCF_009810255.1	Mycoplasmoides pneumoniae	Mycoplasmoides pneumoniae	99.8299	0.8268	191	17	8	8	0	0	1	16	816492	794190	768535	761863	0.0	0	0.9411	0.9352	1104	948
GCF_002906725.1__GCF_016106685.1	Dickeya dianthicola	Dickeya dianthicola	99.9995	0.948	352	190	104	85	0	0	38	185	4825689	4679312	4476401	4463882	0.0	0	0.9192	0.9205	6822	6614
GCF_003111765.1__GCF_003287795.1	Actinomyces sp. Z16	Actinomyces sp. Z5	99.2192	0.9414	337	124	62	48	13	98647	1	101	3761642	3722282	3418250	3469628	7588.2	18887	0.9082	0.9198	5753	5875
GCF_003287775.1__GCF_003287795.1	Actinomyces sp. Z3	Actinomyces sp. Z5	99.3086	0.9473	298	139	66	71	1	17540	60	101	3665213	3722282	3331934	3404669	17540.0	17540	0.9002	0.9056	5728	5793
GCF_003516165.1__GCF_003958395.1	Serratia marcescens	Serratia marcescens	99.986	0.9667	319	212	108	99	4	118093	2	142	5238537	5206128	5057785	5063409	29523.2	58188	0.9534	0.9553	9595	9370
GCF_009862035.1__GCF_009862625.1	Streptomyces sp. SID8366	Streptomyces sp. SID69	99.9995	0.9247	989	507	243	263	0	0	47	497	8023843	7719921	7283790	7257311	0.0	0	0.906	0.9082	13180	12632
GCF_013294265.1__GCF_014230485.1	Clostridium tetanomorphum	Clostridium tetanomorphum	99.8294	0.9477	148	66	24	37	4	144403	1	57	4490777	4312867	4091776	4087882	36100.8	55446	0.9108	0.9382	2830	2799
GCF_900452715.1__GCF_900640165.1	Legionella moravica	Legionella moravica	99.9768	0.9048	361	86	38	40	7	6959	2	76	3825910	3669701	3573900	3586707	994.1	2741	0.9311	0.9488	3795	3498
