pairid	q_acc	r_acc	status	syn2b_breakpoints	syn2b_scj_distance	syn2b_breakpoint_density	syn2b_inverted_fraction	syn2b_raw_inverted_fraction	syn2b_orientation_mismatches	syn2b_orientation_mismatches_raw	syn2b_orientation_uninformative	syn2b_observable_fraction	syn2b_observable_adjacencies	syn2b_structural	syn2b_shared_tags	syn2b_repeats_dropped	syn2b_landmarks_collapsed	syn2b_circular
GCF_006715835.1__GCF_013408335.1	GCF_006715835.1	GCF_013408335.1	ok	23	46	0.03662	0.08121	0.08121	51	51	0	1.0000	628	0.9293	628	49	781	true
GCA_902544135.1__GCA_902541315.1	GCA_902544135.1	GCA_902541315.1	ok	0	6	0.00000	0.30000	0.70000	6	14	0	0.6667	8	0.6000	20	0	1	false
GCA_900548775.1__GCA_902773995.1	GCA_900548775.1	GCA_902773995.1	ok	1	83	0.00211	0.48632	0.48632	231	231	0	0.8796	358	0.8160	475	4	288	false
GCF_000220565.1__GCA_018222585.1	GCF_000220565.1	GCA_018222585.1	ok	6	190	0.00919	0.46248	0.53752	302	351	0	0.6704	421	0.7031	653	19	532	false
GCA_004211905.1__GCA_002685195.1	GCA_004211905.1	GCA_002685195.1	ok	0	30	0.00000	0.39623	0.39623	42	42	0	0.7879	52	0.6591	106	8	29	false
GCF_008011665.1__GCF_008245025.1	GCF_008011665.1	GCF_008245025.1	ok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	false
GCF_002741105.1__GCF_900115695.1	GCF_002741105.1	GCF_900115695.1	ok	4	27	0.00581	0.33672	0.33672	232	232	0	0.9880	659	0.9605	689	48	540	false
GCF_003425685.1__GCF_017877055.1	GCF_003425685.1	GCF_017877055.1	ok	33	80	0.15207	0.41935	0.41935	91	91	0	0.9187	192	0.6667	217	50	1064	false
GCF_003054165.1__GCA_019192965.1	GCF_003054165.1	GCA_019192965.1	ok	11	57	0.05759	0.49738	0.50262	95	96	0	0.8896	145	0.7031	191	36	656	false
GCF_002243645.1__GCF_001645685.2	GCF_002243645.1	GCF_001645685.2	ok	0	0	0.00000	0.00000	1.00000	0	32	0	1.0000	32	1.0000	32	29	84	true
