query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FXJWS49M17_ctg_contig1	18425	29184	FSHHK16M1_ctg_contig1	578025	580016	8768	34	20
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig1	35889	38532	FSHHK16M1_ctg_contig1	586722	678487	89122	20	365
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FXJWS49M17_ctg_contig1	228540	235211	FSHHK16M1_ctg_contig1	867815	872809	1677	365	221
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FXJWS49M17_ctg_contig2	31916	39735	FSHHK16M1_ctg_contig6	32665	34045	6439	69	35
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FXJWS49M17_ctg_contig2	51502	59603	FSHHK16M1_ctg_contig6	45810	46403	7508	35	278
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FXJWS49M17_ctg_contig2	195270	197924	FSHHK16M1_ctg_contig8	11167	11167	2654	278	117
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig2	216190	221005	FSHHK16M1_ctg_contig8	29433	37451	3203	41	76
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FXJWS49M17_ctg_contig2	254650	287996	FSHHK16M1_ctg_contig9	11848	11848	33346	117	59
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig2	306991	307268	FSHHK16M1_ctg_contig9	30801	35554	4476	49	10
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FXJWS49M17_ctg_contig2	311113	313457	FSHHK16M1_ctg_contig14	5489	5489	2344	59	8
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXJWS49M17_ctg_contig2	313348	318295	FSHHK16M1_ctg_contig14	638	5600	4947	59	0
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig3	44177	45507	FSHHK16M1_ctg_contig2	124385	143177	17462	75	149
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig3	84916	87765	FSHHK16M1_ctg_contig2	182455	202852	17548	158	66
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig4	30799	32706	FSHHK16M1_ctg_contig3	30678	34107	1522	62	108
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig4	63723	64916	FSHHK16M1_ctg_contig3	65141	69987	3653	137	33
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXJWS49M17_ctg_contig5	18238	183201	FSHHK16M1_ctg_contig4	25336	195064	164963	0	0
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig5	163315	165210	FSHHK16M1_ctg_contig4	43324	50886	5667	311	35
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXJWS49M17_ctg_contig6	770	23506	FSHHK16M1_ctg_contig4	0	23581	22736	0	0
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig7	58293	62346	FSHHK16M1_ctg_contig1	58135	63407	1219	112	104
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FXJWS49M17_ctg_contig7	66374	68768	FSHHK16M1_ctg_contig1	67448	68728	1114	5	99
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FXJWS49M17_ctg_contig7	118348	124527	FSHHK16M1_ctg_contig1	118297	119784	4692	104	143
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXJWS49M17_ctg_contig10	65262	66299	FSHHK16M1_ctg_contig12	62693	63735	1037	130	128
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FXJWS49M17_ctg_contig10	66179	83547	FSHHK16M1_ctg_contig10	104685	104685	17368	5	128
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXJWS49M17_ctg_contig10	83392	151695	FSHHK16M1_ctg_contig10	37575	104840	68303	5	0
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXJWS49M17_ctg_contig11	1006	16483	FSHHK16M1_ctg_contig10	1135	16436	15477	0	0
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXJWS49M17_ctg_contig12	2066	40236	FSHHK16M1_ctg_contig1	519177	557337	38170	0	181
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FXJWS49M17_ctg_contig12	40121	55058	FSHHK16M1_ctg_contig1	507674	519292	3319	91	181
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FXJWS49M17_ctg_contig12	54881	137317	FSHHK16M1_ctg_contig1	416301	507853	82436	91	0
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig12	57761	58115	FSHHK16M1_ctg_contig1	501752	504971	2865	7	174
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig12	62921	64382	FSHHK16M1_ctg_contig1	489374	496947	6112	25	156
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig13	16889	17999	FSHHK16M1_ctg_contig11	48817	50998	1071	36	2
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig14	2605	3650	FSHHK16M1_ctg_contig11	56060	69391	12286	6	23
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FXJWS49M17_ctg_contig14	10384	10690	FSHHK16M1_ctg_contig11	76113	77754	1335	10	13
FXJWS49M17_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FXJWS49M17_ctg_contig14	14476	16150	FSHHK16M1_ctg_contig2	1798	1798	1674	23	136
