query	reference	kind	found	total	ani_upper95	anim_truth	covered
BBCS01000001.1	BBDO01000001.1	chained	59	329	88.0937	84.0199	1
CP010514.1	QEFP01000001.1	empty	35			92.1943	
LUZY01000001.1	NZ_CP035108.1	chained	132	1186	85.4224	83.4321	1
MEUD01000001.1	JAHJKL010000012.1	chained	61	388	87.4939	84.4679	1
NHIO02000061.1	NZUB01000047.1	empty	30			83.0291	
DBIA01000013.1	DJZU01000088.1	chained	257	1478	87.8418	85.6102	1
NVRM01000082.1	JAESRX010000012.1	chained	7	35	90.5216	85.3765	1
NVUD01000017.1	JAESUJ010000025.1	empty	68			85.0563	
DHVJ01000014.1	NZ_AP018437.1	chained	127	674	88.5251	83.9628	1
DISM01000001.1	NZ_CP019384.1	chained	378	2031	88.0185	85.8416	1
DAPJ01000017.1	DAYH01000030.1	chained	27	182	87.6925	83.3347	1
PAPH01000001.1	NZ_SMSI01000001.1	chained	782	4273	88.0998	85.3855	1
PASL01000001.1	PAOV01000039.1	empty	59			83.8003	
PAZG01000001.1	NHFO01000010.1	empty	32			84.6608	
PBOG01000001.1	PAQH01000001.1	chained	657	3520	88.2101	85.7208	1
PBZO01000001.1	NZDC01000001.1	empty	27			85.8934	
NCRO01000001.1	JADBKX010000015.1	empty	223			89.066	
BEIF01000001.1	DSGD01000004.1	chained	411	3456	86.1881	84.3024	1
PLWS01000006.1	JAAXCW010000001.1	chained	646	4065	87.5612	85.3043	1
QCJV01000001.1	QCPL01000001.1	chained	63	338	88.0585	84.5988	1
QCIF01000001.1	QCBV01000001.1	chained	80	424	87.8726	84.466	1
QEVS01000007.1	JABTUD010000001.1	chained	387	2711	87.0046	84.7499	1
SLHS01000005.1	SLSN01000042.1	empty	51			85.0981	
WJYM01000001.1	NZ_OBEF01000039.1	chained	573	3627	87.4788	85.2956	1
WUQR01000001.1	BEHE01000001.1	chained	98	506	88.5182	85.2305	1
JAACPL010000044.1	JAFGUO010000037.1	empty	74			86.1041	
DUFA01000001.1	JAFGCW010000074.1	chained	6	30	90.9138	84.7795	1
DTKR01000011.1	LGEU01000130.1	empty	110			85.3419	
JAAUVF010000017.1	SYJQ01000016.1	empty	82			85.7587	
JAAYHU010000082.1	JAAYFT010000091.1	empty	131			84.3913	
JABABM010000010.1	PBMX01000001.1	chained	167	1158	87.2292	83.1294	1
JABABE010000001.1	JABAAZ010000010.1	empty	46			88.5717	
JAATVL010000043.1	JAATVM010000004.1	empty	158			85.9418	
JAEDGC010000072.1	CADBMU010000001.1	empty	43			84.6937	
JADJCK010000002.1	CAIWHK010000001.1	chained	741	4476	87.7048	85.16	1
JADKKO010000001.1	JADKJH010000001.1	chained	661	3832	87.6377	85.8692	1
JAEOUO010000001.1	MDVT01000001.1	chained	72	530	86.3176	83.0842	1
JAGAFD010000001.1	JAEEKO010000076.1	empty	29			84.386	
JAGADF010000003.1	SVOB01000002.1	chained	126	994	86.2696	84.4848	1
JAGVZZ010000030.1	JAGWAA010000061.1	empty	38			84.8765	
CAINYB010000001.1	LBRC01000001.1	empty	69			86.1881	
CAJAVM010000001.1	CAIOGK010000001.1	empty	59			84.5931	
NC_007429.1	NZ_LT821323.1	chained	116	1307	84.3737	83.0045	1
NC_008531.1	NZ_SDGY01000001.1	chained	106	779	86.6852	84.7762	1
NC_011297.1	NC_011661.1	chained	150	1206	85.3200	83.6595	1
NC_013512.1	NC_018002.1	chained	154	1206	86.0289	84.6718	1
NZ_CH672413.1	NZ_AVPI01000001.1	chained	864	4802	88.1034	85.3434	1
NZ_CH672413.1	NZ_LMSA01000001.1	chained	1136	7196	87.4721	85.7766	1
NC_017262.1	NZ_VFOF01000001.1	chained	299	2348	86.1873	85.0417	1
NZ_AEUE01000026.1	PBYQ01000001.1	chained	716	4230	87.8082	85.7103	1
NC_016638.1	NC_014970.1	chained	64	361	87.4712	85.1913	1
NC_019566.1	NZ_CP006745.1	chained	175	1309	86.4689	86.3879	1
NZ_AOGY02000089.1	NZ_RQFG01000005.1	chained	417	2412	87.0633	84.8097	1
NZ_AOLN01000001.1	NZ_LOPW02000001.1	chained	460	2779	87.6000	86.2884	1
NC_022079.2	NZ_AYOT01000001.1	chained	100	691	86.2618	84.4408	1
