rank	pairid	q_acc	r_acc	anim_ani	ani	synteny_score	breakpoint_count	af_query	af_reference
1	GCF_009862035.1__GCF_009862625.1	GCF_009862035.1	GCF_009862625.1	99.99	99.9995	0.9635	460	0.906	0.9083
2	GCF_000965005.1__GCF_000965045.1	GCF_000965005.1	GCF_000965045.1	99.62	99.6646	0.9727	26	0.9312	0.9084
3	GCF_900452715.1__GCF_900640165.1	GCF_900452715.1	GCF_900640165.1	99.97	99.9768	0.9761	84	0.9311	0.9488
4	GCF_013294265.1__GCF_014230485.1	GCF_013294265.1	GCF_014230485.1	99.74	99.8294	0.9763	65	0.9108	0.9382
5	GCF_002906725.1__GCF_016106685.1	GCF_002906725.1	GCF_016106685.1	99.99	99.9995	0.9769	152	0.9214	0.9226
6	GCF_003111765.1__GCF_003287795.1	GCF_003111765.1	GCF_003287795.1	99.07	99.2192	0.9778	123	0.9082	0.9198
7	GCF_003516165.1__GCF_003958395.1	GCF_003516165.1	GCF_003958395.1	99.94	99.986	0.9779	210	0.9534	0.9553
8	GCA_002323055.1__GCA_002792255.1	GCA_002323055.1	GCA_002792255.1	99.98	99.99	0.9799	13	0.9091	0.9008
9	GCF_000018245.1__GCF_002078315.1	GCF_000018245.1	GCF_002078315.1	99.56	99.6659	0.9824	17	0.9637	0.928
10	GCF_001534765.1__GCF_003660425.1	GCF_001534765.1	GCF_003660425.1	99.03	99.0422	0.9826	38	0.907	0.9227
11	GCF_002128025.1__GCF_009810255.1	GCF_002128025.1	GCF_009810255.1	99.78	99.8299	0.9828	16	0.9411	0.9352
12	GCA_903843165.1__GCA_903889485.1	GCA_903843165.1	GCA_903889485.1	99.99	99.9982	0.985	78	0.9319	0.9257
13	GCA_903835775.1__GCA_903889485.1	GCA_903835775.1	GCA_903889485.1	99.98	99.9963	0.9852	77	0.9319	0.928
14	GCF_003287775.1__GCF_003287795.1	GCF_003287775.1	GCF_003287795.1	99.08	99.3062	0.9855	79	0.902	0.9074
15	GCA_002295565.1__GCA_002480705.1	GCA_002295565.1	GCA_002480705.1	100.0	99.9991	0.9858	53	0.9128	0.94
16	GCF_001555555.1__GCF_002888235.1	GCF_001555555.1	GCF_002888235.1	99.81	99.9172	0.9864	236	0.9082	0.9468
17	GCF_000278175.1__GCF_002022705.1	GCF_000278175.1	GCF_002022705.1	99.81	99.9457	0.9872	26	0.9254	0.9211
18	GCA_003156515.1__GCA_003169085.1	GCA_003156515.1	GCA_003169085.1	99.73	99.9473	0.9875	53	0.9474	0.9218
19	GCF_001702115.1__GCF_002907065.1	GCF_001702115.1	GCF_002907065.1	99.94	99.9966	0.988	12	0.9531	0.936
20	GCA_018380915.1__GCA_905371925.1	GCA_018380915.1	GCA_905371925.1	99.97	99.9817	0.9881	80	0.9247	0.9174
21	GCF_000239355.1__GCF_902388165.1	GCF_000239355.1	GCF_902388165.1	100.0	99.9999	0.9883	57	0.9346	0.9358
22	GCA_002772855.1__GCA_009992265.1	GCA_002772855.1	GCA_009992265.1	99.94	99.995	0.9885	8	0.9463	0.9352
23	GCF_900452545.1__GCF_900639855.1	GCF_900452545.1	GCF_900639855.1	99.99	99.9999	0.9889	42	0.9713	0.9783
24	GCA_903846515.1__GCA_903857725.1	GCA_903846515.1	GCA_903857725.1	99.93	99.969	0.9892	104	0.9243	0.9136
25	GCF_003111765.1__GCF_003287775.1	GCF_003111765.1	GCF_003287775.1	99.99	99.9932	0.9893	66	0.965	0.9768
26	GCA_903913395.1__GCA_903929275.1	GCA_903913395.1	GCA_903929275.1	99.92	99.9749	0.9901	50	0.9106	0.9434
27	GCF_002813655.1__GCF_002813675.1	GCF_002813655.1	GCF_002813675.1	99.1	99.1157	0.9906	12	0.9029	0.9173
28	GCA_001822615.1__GCA_001822765.1	GCA_001822615.1	GCA_001822765.1	99.91	99.9931	0.9906	9	0.9618	0.9627
29	GCA_903937105.1__GCA_903939605.1	GCA_903937105.1	GCA_903939605.1	99.85	99.9027	0.9908	24	0.9453	0.9366
30	GCF_007097495.1__GCF_014207545.1	GCF_007097495.1	GCF_014207545.1	99.99	99.9979	0.991	46	0.9671	0.9817
31	GCF_000394055.1__GCF_902387535.1	GCF_000394055.1	GCF_902387535.1	99.99	99.9999	0.991	26	0.9645	0.9731
32	GCF_000093065.1__GCF_014879315.1	GCF_000093065.1	GCF_014879315.1	99.96	99.9832	0.9913	4	0.9787	0.9908
33	GCF_000971865.1__GCF_000971875.1	GCF_000971865.1	GCF_000971875.1	99.98	99.9956	0.9916	30	0.9393	0.9419
34	GCA_002453805.1__GCA_002453945.1	GCA_002453805.1	GCA_002453945.1	99.64	99.9805	0.9916	77	0.9586	0.9407
35	GCF_002931955.1__GCF_002932675.1	GCF_002931955.1	GCF_002932675.1	99.32	99.5638	0.9921	45	0.9152	0.9069
36	GCA_001782635.1__GCA_001783815.1	GCA_001782635.1	GCA_001783815.1	99.9	99.9933	0.9921	8	0.9476	0.9334
37	GCF_001702115.1__GCF_001702135.1	GCF_001702115.1	GCF_001702135.1	99.96	99.9932	0.9921	8	0.9638	0.9488
38	GCF_000958465.1__GCF_003693415.1	GCF_000958465.1	GCF_003693415.1	99.86	99.8978	0.9923	48	0.9468	0.9748
39	GCA_019084205.1__GCA_019084465.1	GCA_019084205.1	GCA_019084465.1	99.97	99.9968	0.9924	39	0.9292	0.9513
40	GCF_000478015.1__GCF_000478075.1	GCF_000478015.1	GCF_000478075.1	99.98	99.9834	0.9924	34	0.9827	0.9949
41	GCF_900197825.1__GCF_900197835.1	GCF_900197825.1	GCF_900197835.1	99.97	99.9924	0.9925	13	0.9281	0.9275
42	GCA_019239615.1__GCA_019244155.1	GCA_019239615.1	GCA_019244155.1	99.76	99.9652	0.9925	44	0.9259	0.9489
43	GCF_016028775.1__GCF_016127895.1	GCF_016028775.1	GCF_016127895.1	99.99	99.9999	0.9927	19	0.988	0.9934
44	GCF_003076355.1__GCF_003693415.1	GCF_003076355.1	GCF_003693415.1	99.98	99.9927	0.9928	44	0.9748	0.9572
45	GCF_000835205.1__GCF_902832905.1	GCF_000835205.1	GCF_902832905.1	99.25	99.5147	0.9929	121	0.9327	0.9244
