ref	query	strain_ref	strain_query	ani_skani	ani_struct	n_sv	event_types	total_affected_bp
GCF_002393465.1	GCF_006364695.1	FDAARGOS_401	FDAARGOS_772	100.0	99.9999	2	DEL:1;INV:1	1885986
GCF_002209105.2	GCF_006364695.1	FDAARGOS_348	FDAARGOS_772	100.0	99.9935	10	DEL:4;INS:4;INV:1;TRA:1	216025
GCF_002393365.1	GCF_002554485.1	FDAARGOS_403	FDAARGOS_402	100.0	99.9982	3	INV:3	1488835
GCA_019397165.1	GCA_019397185.1	FDAARGOS_1391	FDAARGOS_1390	100.0	99.9986	1	TRA:1	0
GCA_019048445.1	GCA_019056115.1	FDAARGOS 1382	FDAARGOS 1383	100.0	99.9999	2	INV:2	1444139
GCA_019047725.1	GCA_019048605.1	FDAARGOS 1374	FDAARGOS 1375	100.0	99.9999	2	INV:2	2198367
GCA_019047745.1	GCA_019048425.1	FDAARGOS_1381	FDAARGOS 1380	100.0	99.9999	0	none	0
GCA_019047645.1	GCA_019048345.1	FDAARGOS_1376	FDAARGOS 1377	100.0	99.9999	4	INV:3;TRA:1	78688
GCA_019047165.1	GCA_019048005.1	FDAARGOS_1384	FDAARGOS_1385	100.0	99.9995	2	INS:1;INV:1	22866
GCA_019047145.1	GCA_019047965.1	FDAARGOS_1379	FDAARGOS_1378	100.0	99.9999	0	none	0
GCF_017081345.1	GCF_017081375.1	FDAARGOS_1354	FDAARGOS_1351	99.99	99.9964	21	DEL:3;INS:3;INV:8;TRA:7	609901
GCF_017081335.1	GCF_017081375.1	FDAARGOS_1355	FDAARGOS_1351	99.99	99.9916	19	DEL:3;INS:3;INV:9;TRA:4	2924915
GCF_017081315.1	GCF_017081375.1	FDAARGOS_1353	FDAARGOS_1351	99.99	99.9954	21	DEL:3;INS:3;INV:7;TRA:8	899987
GCF_017081125.1	GCF_017081375.1	FDAARGOS_1239	FDAARGOS_1351	99.99	99.9932	28	DEL:3;INS:4;INV:11;TRA:10	635399
GCF_017081335.1	GCF_017081345.1	FDAARGOS_1355	FDAARGOS_1354	99.99	99.9928	20	DEL:2;INV:12;TRA:6	2543816
GCF_017081315.1	GCF_017081345.1	FDAARGOS_1353	FDAARGOS_1354	99.99	99.9931	10	INV:5;TRA:5	342524
GCF_017081125.1	GCF_017081345.1	FDAARGOS_1239	FDAARGOS_1354	99.99	99.9875	28	DEL:1;INS:1;INV:15;TRA:11	715626
GCF_017081315.1	GCF_017081335.1	FDAARGOS_1353	FDAARGOS_1355	99.99	99.9959	19	INS:1;INV:11;TRA:7	2604867
GCF_017081125.1	GCF_017081335.1	FDAARGOS_1239	FDAARGOS_1355	99.99	99.9919	27	DEL:1;INS:2;INV:12;TRA:12	2411147
GCF_017081125.1	GCF_017081315.1	FDAARGOS_1239	FDAARGOS_1353	99.99	99.9899	26	DEL:1;INV:14;TRA:11	1142323
GCF_016888925.1	GCF_016889905.1	FDAARGOS_1260	FDAARGOS_1259	99.99	99.9859	7	DEL:4;INS:1;INV:1;TRA:1	1776128
GCF_002393365.1	GCF_002983645.1	FDAARGOS_403	FDAARGOS_349	99.99	99.9977	2	INV:2	46338
GCF_002209105.2	GCF_002393465.1	FDAARGOS_348	FDAARGOS_401	99.99	99.9935	15	DEL:3;INS:4;INV:7;TRA:1	5488771
GCA_019047905.1	GCA_019048285.1	FDAARGOS_1388	FDAARGOS 1389	99.99	99.9985	1	INV:1	1108017
GCF_017081235.1	GCF_017081275.1	FDAARGOS_1349	FDAARGOS_1347	99.98	99.9928	35	DEL:2;INS:1;INV:14;TRA:18	416031
GCF_017081115.1	GCF_017081225.1	FDAARGOS_1238	FDAARGOS_1346	99.98	99.9861	36	DEL:7;INS:3;INV:17;TRA:9	4753025
GCF_016904575.1	GCF_017081135.1	FDAARGOS_1276	FDAARGOS_1269	99.98	99.9868	11	DEL:4;INS:5;INV:2	121783
GCF_016903435.1	GCF_016903915.1	FDAARGOS_1302	FDAARGOS_1300	99.98	99.9867	18	DEL:4;INS:6;INV:7;TRA:1	4952741
GCF_017081275.1	GCF_017081385.1	FDAARGOS_1347	FDAARGOS_1350	99.97	99.9913	19	DEL:1;INV:9;TRA:9	1232265
GCF_017081185.1	GCF_017081375.1	FDAARGOS_1240	FDAARGOS_1351	99.97	99.9999	11	INV:9;TRA:2	563659
GCF_017081185.1	GCF_017081345.1	FDAARGOS_1240	FDAARGOS_1354	99.97	99.9837	12	DEL:1;INS:2;INV:7;TRA:2	605125
GCF_017081225.1	GCF_017081335.1	FDAARGOS_1346	FDAARGOS_1355	99.97	99.9596	46	DEL:12;INS:17;INV:9;TRA:8	2578428
GCF_017081185.1	GCF_017081315.1	FDAARGOS_1240	FDAARGOS_1353	99.97	99.9761	15	DEL:1;INS:2;INV:9;TRA:3	491987
GCF_017081125.1	GCF_017081185.1	FDAARGOS_1239	FDAARGOS_1240	99.97	99.9892	23	DEL:3;INS:2;INV:8;TRA:10	307591
GCF_016904255.1	GCF_016904335.1	FDAARGOS_1371	FDAARGOS_1370	99.97	99.9868	13	INS:6;INV:5;TRA:2	5079467
GCF_016889105.1	GCF_016904175.1	FDAARGOS_1254	FDAARGOS_1372	99.97	99.9769	10	DEL:4;INS:1;INV:3;TRA:2	183088
GCF_003938635.1	GCF_016890105.1	FDAARGOS_539	FDAARGOS_1266	99.97	99.9958	13	DEL:2;INS:3;INV:3;TRA:5	118735
GCF_001471815.2	GCF_016890045.1	FDAARGOS_142	FDAARGOS_1265	99.97	99.9915	38	DEL:9;INS:7;INV:12;TRA:10	5139174
GCF_002554485.1	GCF_002983645.1	FDAARGOS_402	FDAARGOS_349	99.97	99.9982	4	INV:2;TRA:2	1388063
GCF_002554475.1	GCF_002554675.1	FDAARGOS_398	FDAARGOS_399	99.97	99.9855	11	DEL:3;INS:3;INV:4;TRA:1	564123
GCF_002209105.2	GCF_002554485.1	FDAARGOS_348	FDAARGOS_402	99.97	99.9817	24	DEL:9;INS:8;INV:7	5301368
GCF_002206405.2	GCF_002554475.1	FDAARGOS_292	FDAARGOS_398	99.97	99.9814	12	DEL:4;INS:4;INV:3;TRA:1	318431
GCF_002209105.2	GCF_002393365.1	FDAARGOS_348	FDAARGOS_403	99.97	99.9833	20	DEL:9;INS:8;INV:3	89081
GCF_017081225.1	GCF_017081375.1	FDAARGOS_1346	FDAARGOS_1351	99.95	99.9750	38	DEL:12;INS:16;INV:5;TRA:5	241243
GCF_017081225.1	GCF_017081345.1	FDAARGOS_1346	FDAARGOS_1354	99.95	99.9545	49	DEL:11;INS:17;INV:12;TRA:9	481552
GCF_017081175.1	GCF_017081345.1	FDAARGOS_1352	FDAARGOS_1354	99.95	99.9568	32	DEL:4;INS:8;INV:16;TRA:4	5266084
GCF_017081185.1	GCF_017081335.1	FDAARGOS_1240	FDAARGOS_1355	99.95	99.9754	19	DEL:1;INS:2;INV:12;TRA:4	3013528
GCF_017081185.1	GCF_017081225.1	FDAARGOS_1240	FDAARGOS_1346	99.95	99.9765	33	DEL:13;INS:7;INV:11;TRA:2	522649
GCF_016903835.1	GCF_016904075.1	FDAARGOS_1299	FDAARGOS_1303	99.95	99.9711	28	DEL:6;INS:10;INV:10;TRA:2	6469239
GCF_016889045.1	GCF_016904055.1	FDAARGOS_1255	FDAARGOS_1293	99.95	99.9888	18	DEL:6;INS:9;INV:1;TRA:2	390312
GCF_002588125.1	GCF_016890105.1	FDAARGOS_441	FDAARGOS_1266	99.95	99.9912	22	DEL:6;INS:6;INV:9;TRA:1	5015711
GCF_002209105.2	GCF_002983645.1	FDAARGOS_348	FDAARGOS_349	99.95	99.9833	20	DEL:9;INS:8;INV:3	109796
GCF_002206405.2	GCF_002554675.1	FDAARGOS_292	FDAARGOS_399	99.95	99.9775	20	DEL:4;INS:4;INV:10;TRA:2	852916
GCF_002206405.2	GCF_002554325.1	FDAARGOS_292	FDAARGOS_400	99.95	99.9728	23	DEL:4;INS:5;INV:12;TRA:2	1143032
GCF_017081235.1	GCF_017081385.1	FDAARGOS_1349	FDAARGOS_1350	99.94	99.9922	35	DEL:2;INV:11;TRA:22	182528
GCF_017081115.1	GCF_017081345.1	FDAARGOS_1238	FDAARGOS_1354	99.94	99.9510	55	DEL:12;INS:17;INV:19;TRA:7	4950147
GCF_017081115.1	GCF_017081335.1	FDAARGOS_1238	FDAARGOS_1355	99.94	99.9557	54	DEL:13;INS:17;INV:15;TRA:9	2662740
GCF_017081125.1	GCF_017081225.1	FDAARGOS_1239	FDAARGOS_1346	99.94	99.9689	43	DEL:16;INS:11;INV:7;TRA:9	625861
GCF_016904195.1	GCF_016904535.1	FDAARGOS_1296	FDAARGOS_1297	99.94	99.9729	31	DEL:10;INS:7;INV:12;TRA:2	6233958
GCF_002208865.2	GCF_017081335.1	FDAARGOS_293	FDAARGOS_1355	99.93	99.9452	61	DEL:17;INS:19;INV:21;TRA:4	5512474
GCF_017081115.1	GCF_017081315.1	FDAARGOS_1238	FDAARGOS_1353	99.93	99.9548	56	DEL:12;INS:16;INV:19;TRA:9	4943671
GCF_002208865.2	GCF_017081185.1	FDAARGOS_293	FDAARGOS_1240	99.93	99.9466	48	DEL:15;INS:15;INV:17;TRA:1	4292474
GCF_017081115.1	GCF_017081125.1	FDAARGOS_1238	FDAARGOS_1239	99.93	99.9498	51	DEL:13;INS:16;INV:15;TRA:7	4004916
GCF_016903335.1	GCF_016904535.1	FDAARGOS_1295	FDAARGOS_1297	99.93	99.9845	9	DEL:3;INS:4;INV:1;TRA:1	1337498
GCF_016903335.1	GCF_016904195.1	FDAARGOS_1295	FDAARGOS_1296	99.93	99.9660	29	DEL:7;INS:9;INV:11;TRA:2	8132483
GCF_016889265.1	GCF_016890045.1	FDAARGOS_1264	FDAARGOS_1265	99.93	99.9765	28	DEL:15;INS:10;INV:2;TRA:1	165170
GCF_017081175.1	GCF_017081375.1	FDAARGOS_1352	FDAARGOS_1351	99.92	99.9730	36	DEL:3;INS:6;INV:19;TRA:8	4863832
GCF_017081115.1	GCF_017081375.1	FDAARGOS_1238	FDAARGOS_1351	99.92	99.9710	55	DEL:13;INS:17;INV:18;TRA:7	4826838
GCF_017081175.1	GCF_017081335.1	FDAARGOS_1352	FDAARGOS_1355	99.92	99.9597	33	DEL:5;INS:8;INV:14;TRA:6	3173287
GCF_017081225.1	GCF_017081315.1	FDAARGOS_1346	FDAARGOS_1353	99.92	99.9587	49	DEL:11;INS:16;INV:13;TRA:9	928430
GCF_017081175.1	GCF_017081315.1	FDAARGOS_1352	FDAARGOS_1353	99.92	99.9607	35	DEL:4;INS:8;INV:16;TRA:7	5105495
