query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSDJN6M3_ctg_contig1	2284	4890	FSHHK16M1_ctg_contig1	514275	516881	2606	0	0
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSDJN6M3_ctg_contig14	0	2272	FSHHK16M1_ctg_contig1	508254	510557	2272	0	11
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSDJN6M3_ctg_contig14	2106	5803	FSHHK16M1_ctg_contig1	507674	508418	2953	7	11
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSDJN6M3_ctg_contig14	5606	9824	FSHHK16M1_ctg_contig1	500785	507876	4218	7	0
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSDJN6M3_ctg_contig14	8507	8861	FSHHK16M1_ctg_contig1	501752	504971	2865	6	5
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSDJN6M3_ctg_contig15	0	9999	FSHHK16M1_ctg_contig1	490634	500844	9999	0	0
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSDJN6M3_ctg_contig18	46	10715	FSHHK16M1_ctg_contig1	478932	489582	10669	0	0
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSDJN6M3_ctg_contig20	0	27688	FSHHK16M1_ctg_contig1	450328	478093	27688	0	0
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSDJN6M3_ctg_contig21	1370	27128	FSHHK16M1_ctg_contig1	422998	448757	25758	0	0
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSDJN6M3_ctg_contig23	0	7732	FSHHK16M1_ctg_contig1	415190	423070	7732	0	0
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSDJN6M3_ctg_contig42	1687	22060	FSHHK16M1_ctg_contig2	162421	182681	20373	0	0
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSDJN6M3_ctg_contig43	974	21174	FSHHK16M1_ctg_contig2	143004	161583	20200	0	8
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FSDJN6M3_ctg_contig43	18527	20917	FSHHK16M1_ctg_contig2	143264	144369	1285	40	2
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FSDJN6M3_ctg_contig43	21004	22334	FSHHK16M1_ctg_contig2	124385	143177	17462	42	8
FSDJN6M3_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FSDJN6M3_ctg_contig43	22148	24542	FSHHK16M1_ctg_contig2	122182	124571	2394	42	0
