pairid	syn2b_raw_inverted_fraction	syn2b_inverted_fraction	syn2b_breakpoints	syn2b_breakpoint_density	syn2b_scj_distance	syn2b_scj_corrected	syn2b_shared_tags	syn2b_observable_fraction	q_species	r_species	same_species
GCF_000487775.1__GCF_004194615.2	1.0	0.0	0.0	0.0	0.0	0.0	3517.0	1.0			
GCF_000272815.2__GCF_003641325.1	1.0	0.0	0.0	0.0	10.0	10.0	3763.0	1.0			
GCF_000272815.2__GCF_003864055.1	1.0	0.0	0.0	0.0	12.0	12.0	3762.0	1.0			
GCF_000026645.1__GCF_000271985.2	1.0	0.0	3.0	0.00029	14.0	14.0	10291.0	1.0			
GCF_000272815.2__GCF_006969245.1	1.0	0.0	0.0	0.0	18.0	18.0	3838.0	1.0			
GCF_000272815.2__GCF_007431545.1	1.0	0.0	0.0	0.0	18.0	18.0	3770.0	1.0			
GCF_000272815.2__GCF_011465695.1	1.0	0.0	2.0	0.00049	4.0	4.0	4051.0	1.0			
GCF_000272815.2__GCF_011465815.1	1.0	0.0	2.0	0.00049	10.0	10.0	4053.0	1.0			
GCF_000272815.2__GCF_014521465.1	1.0	0.0	2.0	0.00049	4.0	4.0	4070.0	1.0			
GCF_000272815.2__GCF_016025395.1	1.0	0.0	0.0	0.0	6.0	6.0	3801.0	1.0			
GCF_001086805.1__GCF_018279305.1	1.0	0.0	3.0	0.0003	36.0	36.0	10126.0	1.0			
GCF_001086805.1__GCF_013375795.1	1.0	0.0	5.0	0.00054	28.0	28.0	9229.0	1.0			
GCF_000750495.1__GCF_008369645.1	1.0	0.0	0.0	0.0	0.0	0.0	5256.0	1.0			
GCF_001077475.1__GCF_904866275.1	1.0	0.0	0.0	0.0	6.0	6.0	10884.0	1.0			
GCF_002211845.1__GCF_013161625.1	1.0	0.0	3.0	0.00146	18.0	18.0	2059.0	1.0			
GCF_001077475.1__GCF_900618335.1	1.0	0.0	6.0	0.00058	26.0	26.0	10427.0	1.0			
GCF_002211845.1__GCF_009729935.1	1.0	0.0	0.0	0.0	28.0	28.0	3383.0	1.0			
GCF_001077475.1__GCF_900618325.1	1.0	0.0	6.0	0.00058	26.0	26.0	10427.0	1.0			
GCF_001077475.1__GCF_900618265.1	1.0	0.0	6.0	0.00058	26.0	26.0	10391.0	1.0			
GCF_000272815.2__GCF_003710205.1	1.0	0.0	0.0	0.0	6.0	6.0	3753.0	1.0			
GCF_000626195.1__GCF_008369645.1	1.0	0.0	0.0	0.0	0.0	0.0	5254.0	1.0			
GCF_001077475.1__GCF_015697665.1	1.0	0.0	5.0	0.00049	16.0	16.0	10187.0	1.0			
GCF_000272815.2__GCF_003641305.1	1.0	0.0	0.0	0.0	10.0	10.0	3763.0	1.0			
GCF_003319235.1__GCF_004102665.1	1.0	0.0	3.0	0.00029	6.0	6.0	10348.0	1.0			
GCF_003319235.1__GCF_003957825.1	1.0	0.0	0.0	0.0	0.0	0.0	10235.0	1.0			
GCF_002753655.1__GCF_013255565.1	1.0	0.0	8.0	0.00085	26.0	26.0	9369.0	1.0			
GCF_000272815.2__GCF_000483715.2	1.0	0.0	3.0	0.00057	6.0	6.0	5235.0	1.0			
GCF_000272815.2__GCF_000940895.2	1.0	0.0	2.0	0.00049	4.0	4.0	4045.0	1.0			
GCF_001896045.1__GCF_900459835.1	1.0	0.0	3.0	0.0018	24.0	24.0	1671.0	1.0			
GCF_001896045.1__GCF_900476455.1	1.0	0.0	3.0	0.00167	12.0	12.0	1798.0	1.0			
GCF_000272815.2__GCF_001922165.1	1.0	0.0	0.0	0.0	0.0	0.0	5282.0	1.0			
GCF_002761015.1__GCF_008369645.1	1.0	0.0	0.0	0.0	0.0	0.0	5214.0	1.0			
GCF_000272815.2__GCF_002946375.1	1.0	0.0	0.0	0.0	18.0	18.0	3833.0	1.0			
GCF_000272815.2__GCF_003031855.1	1.0	0.0	0.0	0.0	18.0	18.0	3771.0	1.0			
GCF_000272815.2__GCF_003073595.1	1.0	0.0	0.0	0.0	6.0	6.0	3480.0	1.0			
GCF_000272815.2__GCF_003130605.1	1.0	0.0	0.0	0.0	6.0	6.0	3480.0	1.0			
GCF_000272815.2__GCF_003547975.1	1.0	0.0	0.0	0.0	18.0	18.0	3837.0	1.0			
GCF_000626095.2__GCF_008369645.1	1.0	0.0	0.0	0.0	0.0	0.0	5300.0	1.0			
GCF_000272815.2__GCF_003549665.1	1.0	0.0	3.0	0.00078	30.0	30.0	3839.0	1.0			
GCF_000272815.2__GCF_003641265.1	1.0	0.0	0.0	0.0	10.0	10.0	3761.0	1.0			
GCF_001077475.1__GCF_900618255.1	1.0	0.0	6.0	0.00058	26.0	26.0	10402.0	1.0			
GCF_001077475.1__GCF_015697465.1	1.0	0.0	0.0	0.0	6.0	6.0	10873.0	1.0			
GCF_001975645.1__GCF_011465695.1	1.0	0.0	0.0	0.0	6.0	6.0	4064.0	1.0			
GCF_001077475.1__GCF_002946935.1	1.0	0.0	2.0	0.0002	4.0	4.0	9937.0	1.0			
GCF_001077475.1__GCF_002442855.1	1.0	0.0	0.0	0.0	18.0	18.0	10411.0	1.0			
GCF_002947575.1__GCF_900459835.1	1.0	0.0	0.0	0.0	14.0	14.0	1721.0	1.0			
GCF_001077475.1__GCF_002411865.3	1.0	0.0	2.0	0.00019	10.0	10.0	10290.0	1.0			
GCF_001077475.1__GCF_001594325.2	1.0	0.0	4.0	0.00038	40.0	40.0	10407.0	1.0			
GCF_001077475.1__GCF_001518975.1	1.0	0.0	3.0	0.00029	18.0	18.0	10312.0	1.0			
GCF_001077475.1__GCF_001516305.2	1.0	0.0	3.0	0.00029	18.0	18.0	10301.0	1.0			
GCF_001077475.1__GCF_001516245.2	1.0	0.0	0.0	0.0	0.0	0.0	10165.0	1.0			
GCF_001077475.1__GCF_001293085.1	1.0	0.0	8.0	0.00078	34.0	34.0	10229.0	1.0			
GCF_000026645.1__GCF_006364735.1	1.0	0.0	5.0	0.00049	22.0	22.0	10253.0	1.0			
GCF_002094915.1__GCF_003177255.1	1.0	0.0	3.0	0.00087	12.0	12.0	3435.0	1.0			
GCF_001045685.1__GCF_003319235.1	1.0	0.0	4.0	0.00039	24.0	24.0	10258.0	1.0			
GCF_001975645.1__GCF_016025395.1	1.0	0.0	0.0	0.0	6.0	6.0	3823.0	1.0			
GCF_003044325.1__GCF_900459835.1	1.0	0.0	0.0	0.0	12.0	12.0	1717.0	1.0			
GCF_001975645.1__GCF_013358425.1	1.0	0.0	0.0	0.0	18.0	18.0	3560.0	1.0			
GCF_003044325.1__GCF_900476455.1	1.0	0.0	0.0	0.0	6.0	6.0	2153.0	1.0			
GCF_003044325.1__GCF_900618125.1	1.0	0.0	2.0	0.00116	15.0	11.91	1719.0	0.9994			
GCF_003351525.1__GCF_003351645.1	1.0	0.0	0.0	0.0	10.0	10.0	1710.0	1.0			
GCF_001077475.1__GCF_002753655.1	1.0	0.0	6.0	0.0007	18.0	18.0	8566.0	1.0			
GCF_002094915.1__GCF_004564195.1	1.0	0.0	0.0	0.0	16.0	16.0	3452.0	1.0			
GCF_000623135.1__GCF_008369645.1	1.0	0.0	0.0	0.0	0.0	0.0	5305.0	1.0			
GCF_002094915.1__GCF_004919205.1	1.0	0.0	3.0	0.00087	12.0	12.0	3435.0	1.0			
GCF_002211845.1__GCF_003549275.1	1.0	0.0	0.0	0.0	18.0	18.0	3618.0	1.0			
GCF_002211845.1__GCF_003548545.1	1.0	0.0	0.0	0.0	18.0	18.0	3618.0	1.0			
GCF_002119485.1__GCF_014840915.2	1.0	0.0	6.0	0.00159	18.0	18.0	3783.0	1.0			
GCF_002119485.1__GCF_013161625.1	1.0	0.0	2.0	0.00096	28.0	28.0	2088.0	1.0			
GCF_001077475.1__GCF_009905195.1	1.0	0.0	6.0	0.00059	24.0	24.0	10246.0	1.0			
GCF_002119485.1__GCF_004564195.1	1.0	0.0	0.0	0.0	12.0	12.0	4079.0	1.0			
GCF_001077475.1__GCF_009676885.1	1.0	0.0	3.0	0.00029	6.0	6.0	10390.0	1.0			
GCF_002119485.1__GCF_003549275.1	1.0	0.0	0.0	0.0	6.0	6.0	3837.0	1.0			
GCF_002119485.1__GCF_003548545.1	1.0	0.0	0.0	0.0	6.0	6.0	3837.0	1.0			
GCF_002843545.1__GCF_900476455.1	1.0	0.0	3.0	0.00171	24.0	24.0	1755.0	1.0			
GCF_001077475.1__GCF_003429185.1	1.0	0.0	8.0	0.00077	26.0	26.0	10324.0	1.0			
GCF_001077475.1__GCF_003369755.1	1.0	0.0	6.0	0.0006	24.0	24.0	10055.0	1.0			
GCF_002094915.1__GCF_013161625.1	1.0	0.0	0.0	0.0	16.0	16.0	2044.0	1.0			
GCF_002094915.1__GCF_009756475.1	1.0	0.0	3.0	0.00087	6.0	6.0	3435.0	1.0			
GCF_002094915.1__GCF_009729935.1	1.0	0.0	0.0	0.0	18.0	18.0	4187.0	1.0			
GCF_002094915.1__GCF_006874805.1	1.0	0.0	3.0	0.00087	6.0	6.0	3434.0	1.0			
GCF_002094915.1__GCF_004941405.1	1.0	0.0	3.0	0.00087	12.0	12.0	3435.0	1.0			
GCF_003319235.1__GCF_007559065.1	1.0	0.0	2.0	0.00022	22.0	22.0	9177.0	1.0			
GCF_000271905.2__GCF_001975305.1	1.0	0.0	0.0	0.0	0.0	0.0	5252.0	1.0			
GCF_000271905.2__GCF_001305835.1	1.0	0.0	0.0	0.0	6.0	6.0	4081.0	1.0			
GCF_000188955.2__GCF_001623585.1	1.0	0.0	0.0	0.0	0.0	0.0	3485.0	1.0			
GCF_003319235.1__GCF_904866275.1	1.0	0.0	3.0	0.00029	20.0	20.0	10327.0	1.0			
GCF_000188955.2__GCF_001922165.1	1.0	0.0	0.0	0.0	6.0	6.0	3468.0	1.0			
GCF_000188955.2__GCF_001975325.1	1.0	0.0	2.0	0.00058	4.0	4.0	3466.0	1.0			
