query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWX9M2_ctg_contig1	30222	30710	FSHHK16M1_ctg_contig7	71292	82568	10788	63	85
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWX9M2_ctg_contig1	52629	54875	FSHHK16M1_ctg_contig7	104546	107810	1018	105	43
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWX9M2_ctg_contig1	56836	57862	FSHHK16M1_ctg_contig7	109772	117921	7123	110	38
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FJSWX9M2_ctg_contig1	74752	78737	FSHHK16M1_ctg_contig11	2618	2618	3985	148	77
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWX9M2_ctg_contig1	111343	116596	FSHHK16M1_ctg_contig11	35065	35684	4634	77	96
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWX9M2_ctg_contig1	147153	147939	FSHHK16M1_ctg_contig11	66041	69391	2564	63	33
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWX9M2_ctg_contig1	154684	154990	FSHHK16M1_ctg_contig11	76113	77754	1335	74	22
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FJSWX9M2_ctg_contig1	164826	166556	FSHHK16M1_ctg_contig2	362	362	1730	96	438
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWX9M2_ctg_contig1	349294	352143	FSHHK16M1_ctg_contig2	182455	202852	17548	372	66
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWX9M2_ctg_contig2	45979	47883	FSHHK16M1_ctg_contig3	30678	34107	1525	59	76
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWX9M2_ctg_contig2	78911	106899	FSHHK16M1_ctg_contig3	65141	69987	23142	135	32
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWX9M2_ctg_contig4	14279	16953	FSHHK16M1_ctg_contig1	586722	678487	89091	28	108
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FJSWX9M2_ctg_contig4	71520	75560	FSHHK16M1_ctg_contig1	733041	734001	3080	108	91
FJSWX9M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FJSWX9M2_ctg_contig4	121495	124738	FSHHK16M1_ctg_contig1	779377	783688	1068	87	4
