query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_FJ_ND_D15_M_1_ctg_contig1	78914	83058	FSHHK16M1_ctg_contig1	786862	795058	4052	134	105
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_FJ_ND_D15_M_1_ctg_contig1	143791	157900	FSHHK16M1_ctg_contig1	856429	858067	12471	105	245
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_FJ_ND_D15_M_1_ctg_contig1	158011	160024	FSHHK16M1_ctg_contig1	858178	858657	1534	2	243
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	F_FJ_ND_D15_M_1_ctg_contig1	287264	289405	FSHHK16M1_ctg_contig3	122765	122765	2141	245	239
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig1	289244	410037	FSHHK16M1_ctg_contig3	275	122926	120793	245	0
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_FJ_ND_D15_M_1_ctg_contig1	289733	294733	FSHHK16M1_ctg_contig3	119373	122437	1936	3	236
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_FJ_ND_D15_M_1_ctg_contig1	344116	345304	FSHHK16M1_ctg_contig3	65141	69987	3658	101	138
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_FJ_ND_D15_M_1_ctg_contig1	376319	378229	FSHHK16M1_ctg_contig3	30678	34107	1519	176	63
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_FJ_ND_D15_M_1_ctg_contig1	390993	393350	FSHHK16M1_ctg_contig3	16970	17895	1432	198	41
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig2	1003	30158	FSHHK16M1_ctg_contig2	202679	231795	29155	0	0
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig3	32458	130352	FSHHK16M1_ctg_contig1	614685	712254	97894	0	210
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig3	133432	236578	FSHHK16M1_ctg_contig1	508265	611602	103146	191	105
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_FJ_ND_D15_M_1_ctg_contig3	236424	240121	FSHHK16M1_ctg_contig1	507674	508418	2953	210	105
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig3	239941	282807	FSHHK16M1_ctg_contig1	462131	507853	42866	210	144
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_FJ_ND_D15_M_1_ctg_contig3	242824	243307	FSHHK16M1_ctg_contig1	501623	504971	2865	7	98
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_FJ_ND_D15_M_1_ctg_contig3	282627	289010	FSHHK16M1_ctg_contig1	460991	462310	5064	105	144
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig3	288846	359029	FSHHK16M1_ctg_contig1	387103	461152	70183	105	78
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_FJ_ND_D15_M_1_ctg_contig3	356594	356936	FSHHK16M1_ctg_contig1	389250	393507	3915	140	4
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_FJ_ND_D15_M_1_ctg_contig3	358865	376854	FSHHK16M1_ctg_contig1	367867	387264	1408	144	78
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig3	376759	408022	FSHHK16M1_ctg_contig1	340747	367963	31263	144	0
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_FJ_ND_D15_M_1_ctg_contig3	399455	402995	FSHHK16M1_ctg_contig1	344146	345271	2415	70	8
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_FJ_ND_D15_M_1_ctg_contig3	403319	405566	FSHHK16M1_ctg_contig1	343204	343822	1629	72	6
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig4	38780	221992	FSHHK16M1_ctg_contig2	181	182636	183212	0	0
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_FJ_ND_D15_M_1_ctg_contig5	95641	98526	FSHHK16M1_ctg_contig1	195742	197147	1480	174	166
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig6	17	18656	FSHHK16M1_ctg_contig11	47648	66256	18639	0	16
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig6	23271	30390	FSHHK16M1_ctg_contig11	35572	42687	7119	30	77
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_FJ_ND_D15_M_1_ctg_contig6	30275	35533	FSHHK16M1_ctg_contig11	35065	35684	4639	16	77
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig6	35391	68146	FSHHK16M1_ctg_contig11	2476	35207	32755	16	192
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	F_FJ_ND_D15_M_1_ctg_contig6	68004	69229	FSHHK16M1_ctg_contig7	132951	132951	1225	77	192
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig6	69032	177177	FSHHK16M1_ctg_contig7	6292	133146	108145	77	8
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_FJ_ND_D15_M_1_ctg_contig6	84058	85263	FSHHK16M1_ctg_contig7	109772	118121	7144	32	160
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_FJ_ND_D15_M_1_ctg_contig6	111701	112189	FSHHK16M1_ctg_contig7	71292	82568	10788	69	123
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	F_FJ_ND_D15_M_1_ctg_contig6	176980	191199	FSHHK16M1_ctg_contig7	3018	6487	10750	192	8
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig6	191103	193397	FSHHK16M1_ctg_contig7	817	3117	2294	192	0
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig7	931	191236	FSHHK16M1_ctg_contig4	5899	201963	190305	0	0
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_FJ_ND_D15_M_1_ctg_contig7	151922	153817	FSHHK16M1_ctg_contig4	43324	50886	5667	321	65
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig8	176	181556	FSHHK16M1_ctg_contig6	732	183178	181380	0	0
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	F_FJ_ND_D15_M_1_ctg_contig8	4222	5196	FSHHK16M1_ctg_contig6	176884	179127	1269	15	360
F_FJ_ND_D15_M_1_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	F_FJ_ND_D15_M_1_ctg_contig9	7083	47326	FSHHK16M1_ctg_contig9	233	40452	40243	0	125
