query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	ani_gated	gate	flag
DHNI01000101.1	JAAZLQ010000358.1	99.9999	99.9999	0.0013	0.0011	8.30454	1	1.0000	0	99.9999	uniform	ok
NZ_CP043641.1	WHST01000131.1	87.9578	87.9578	0.0022	0.0017	1.70515	1	1.0000	0	87.9578	uniform	BELOW_DETECTION
NZ_CP043641.1	JADJVX010000001.1	88.0315	88.0315	0.0016	0.0021	1.81513	1	1.0000	0	88.0315	uniform_fallback	INCONSISTENT
DKVF01000063.1	QUKC01000001.1	96.2963	96.2963	0.0009	0.0006	1.81723	1	1.0000	0	96.2963	uniform_fallback	INCONSISTENT
NZ_JACZZA010000010.1	NZ_JAGJRS010000001.1	85.9356	87.8374	0.0774	0.1050	0.31259	19	0.9463	8	85.9356	gamma	BELOW_DETECTION
NZ_JACZZA010000010.1	SCQU01000006.1	89.9959	89.9959	0.0019	0.0032	1.58397	1	1.0000	0	89.9959	uniform	INCONSISTENT
NZ_JACZZA010000010.1	CP050452.1	91.6882	91.6882	0.0010	0.0012	1.84582	1	1.0000	0	91.6882	uniform	INCONSISTENT
NZ_JADMSO010000010.1	RAYB01000109.1	99.0317	99.0317	0.0012	0.0009	0.68753	1	1.0000	0	99.0317	uniform	ok
NZ_NRRU01000001.1	NZ_JAGGNW010000009.1	90.2693	90.2693	0.0076	0.0072	0.66053	6	1.0000	0	90.2693	uniform	INCONSISTENT
NZ_NRRU01000001.1	NZ_CADFEN010000001.1	85.6392	85.6392	0.0088	0.0067	0.98965	2	1.0000	0	85.6392	uniform	BELOW_DETECTION
NZ_NRRU01000001.1	SBFS01000297.1	88.4205	88.4205	0.0021	0.0042	1.80527	1	1.0000	0	88.4205	uniform	INCONSISTENT
NZ_NRRU01000001.1	JAAYCV010000073.1	94.5313	94.5313	0.0001	0.0002	2.00968	1	1.0000	0	94.5313	uniform_fallback	INCONSISTENT
NZ_NRRU01000001.1	JACMKJ010000435.1	88.4476	88.4476	0.0044	0.0047	1.22205	2	1.0000	0	88.4476	uniform_fallback	INCONSISTENT
NZ_NRRU01000001.1	SCMQ01000010.1	91.2005	91.2005	0.0084	0.0098	0.60460	7	0.9744	1	91.2005	uniform	INCONSISTENT
NZ_NRRU01000001.1	JACRPA010000007.1	93.6678	93.6678	0.0006	0.0010	1.36420	2	1.0000	0	93.6678	uniform_fallback	INCONSISTENT
NZ_BOOA01000001.1	NZ_FOLJ01000034.1	87.8581	87.8581	0.0042	0.0050	1.12988	1	1.0000	0	87.8581	uniform	BELOW_DETECTION
NZ_BOOA01000001.1	JODX01000001.1	88.3040	88.3040	0.0013	0.0017	1.88941	1	1.0000	0	88.3040	uniform	ok
NZ_BOOA01000001.1	RHDP01000001.1	87.4588	87.4588	0.0038	0.0050	1.30719	1	1.0000	0	87.4588	uniform_fallback	BELOW_DETECTION
NZ_BOOA01000001.1	WHST01000131.1	88.0748	88.0748	0.0027	0.0036	1.21403	2	1.0000	0	88.0748	uniform	BELOW_DETECTION
NZ_JAGJRS010000001.1	SCQU01000006.1	90.5530	90.5530	0.0027	0.0033	1.73092	1	1.0000	0	90.5530	uniform	INCONSISTENT
NZ_JAGJRS010000001.1	CP050452.1	87.5856	87.5856	0.0078	0.0069	1.16199	2	1.0000	0	87.5856	uniform	BELOW_DETECTION
NZ_JAGJRS010000001.1	JACPFU010000025.1	94.7855	94.7855	0.0003	0.0003	1.95357	1	1.0000	0	94.7855	uniform	INCONSISTENT
NZ_JAGJRS010000001.1	SCMQ01000010.1	94.4385	94.4385	0.0005	0.0004	1.86314	1	1.0000	0	94.4385	uniform	INCONSISTENT
NZ_JAGJTM010000001.1	JACESE010000001.1	92.9394	92.9394	0.0053	0.0028	1.14571	2	0.9091	1	92.9394	uniform	ok
NZ_JAGGNW010000009.1	NZ_CADFEN010000001.1	92.2600	92.2600	0.0026	0.0020	1.03583	5	0.8947	2	92.2600	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	JAAVLQ010000001.1	96.2500	96.2500	0.0000	0.0000	1.50195	3	0.8182	2	96.2500	uniform_fallback	INCONSISTENT
NZ_JAGGNW010000009.1	JAAYCV010000073.1	87.2273	87.2273	0.0038	0.0090	1.24254	2	0.9000	1	87.2273	uniform	BELOW_DETECTION
NZ_JAGGNW010000009.1	JACMKJ010000435.1	93.2638	93.2638	0.0008	0.0010	1.25706	2	1.0000	0	93.2638	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	CP050452.1	98.1250	98.1250	0.0000	0.0000	1.07233	4	0.8235	3	98.1250	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	JACSRS010000125.1	90.2197	90.2197	0.0035	0.0050	0.99975	3	1.0000	0	90.2197	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	SCMQ01000010.1	86.6536	88.1573	0.0705	0.0782	0.28353	25	0.9382	11	86.6536	gamma	BELOW_DETECTION
NZ_CP077604.1	SKKL01000235.1	88.1438	88.1438	0.0020	0.0032	1.92983	1	1.0000	0	88.1438	uniform_fallback	BELOW_DETECTION
NZ_FMIZ01000007.1	QUKC01000001.1	99.9999	99.9999	0.0009	0.0008	7.62492	1	1.0000	0	99.9999	uniform	INCONSISTENT
NZ_FNUR01000023.1	SVFZ01000015.1	89.7261	89.7261	0.0071	0.0071	1.28812	2	1.0000	0	89.7261	uniform_fallback	INCONSISTENT
PMHU01000107.1	PMSW01000100.1	99.9999	99.9999	0.0011	0.0010	5.40738	1	1.0000	0	99.9999	uniform	ok
NZ_FOZV01000019.1	NZ_FUIE01000088.1	90.1696	90.1696	0.0431	0.0393	0.50802	8	0.9516	3	90.1696	uniform	INCONSISTENT
NZ_FOZV01000019.1	JACESE010000001.1	89.2588	89.2588	0.0084	0.0063	1.03948	2	1.0000	0	89.2588	uniform	INCONSISTENT
NZ_FOZV01000019.1	JADFAJ010000001.1	88.6161	88.6161	0.0021	0.0020	1.90179	1	1.0000	0	88.6161	uniform_fallback	INCONSISTENT
QBZW01000001.1	JACWDM010000001.1	95.8243	95.8243	0.0038	0.0042	1.65533	1	1.0000	0	95.8243	uniform	ok
